window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,fixed,0,300,49049.06,49407.85999999913,49228.45999999956,,,,300,0.0
2,fixed,100,400,49169.05999999971,49527.85999999884,49348.45999999927,,,,300,0.0
3,fixed,200,500,49289.059999999416,49647.859999998545,49468.45999999898,,,,300,0.0
4,fixed,300,600,49409.059999999125,49767.859999998254,49588.45999999869,,,,300,0.0
5,fixed,400,700,49529.05999999883,49887.85999999796,49708.4599999984,,,,300,0.0
6,fixed,500,800,49649.05999999854,50007.85999999767,49828.45999999811,,,,300,0.0
7,fixed,600,900,49769.05999999825,50127.85999999738,49948.459999997816,,,,300,0.03666666666666667
8,fixed,700,1000,49889.05999999796,50247.85999999709,50068.459999997525,,,,300,0.03666666666666667
9,fixed,800,1100,50009.05999999767,50367.8599999968,50188.459999997234,,,,300,0.03666666666666667
10,fixed,900,1200,50129.05999999738,50487.85999999651,50308.45999999694,,,,300,0.0
11,fixed,1000,1300,50249.05999999709,50607.85999999622,50428.45999999665,,,,300,0.0
12,fixed,1100,1400,50369.059999996796,50727.859999995926,50548.45999999636,,,,300,0.0
13,fixed,1200,1500,50489.059999996505,50847.859999995635,50668.45999999607,,,,300,0.03666666666666667
14,fixed,1300,1600,50609.059999996214,50967.859999995344,50788.45999999578,,,,300,0.06
15,fixed,1400,1700,50729.05999999592,51087.85999999505,50908.45999999549,,,,300,0.06
16,fixed,1500,1800,50849.05999999563,51207.85999999476,51028.4599999952,,,,300,0.043333333333333335
17,fixed,1600,1900,50969.05999999534,51327.85999999447,51148.459999994906,,,,300,0.02
18,fixed,1700,2000,51089.05999999505,51447.85999999418,51268.459999994615,,,,300,0.02
19,fixed,1800,2100,51209.05999999476,51567.85999999389,51388.459999994324,,,,300,0.0
20,fixed,1900,2200,51329.05999999447,51687.8599999936,51508.45999999403,,,,300,0.016666666666666666
21,fixed,2000,2300,51449.05999999418,51807.85999999331,51628.45999999374,,,,300,0.04
22,fixed,2100,2400,51569.059999993886,51927.859999993016,51748.45999999345,,,,300,0.04
23,fixed,2200,2500,51689.059999993595,52047.859999992725,51868.45999999316,,,,300,0.023333333333333334
24,fixed,2300,2600,51809.059999993304,52167.85999999243,51988.45999999287,,,,300,0.08333333333333333
25,fixed,2400,2700,51929.05999999301,52287.85999999214,52108.45999999258,,,,300,0.08333333333333333
26,fixed,2500,2800,52049.05999999272,52407.85999999185,52228.45999999229,,,,300,0.09
27,fixed,2600,2900,52169.05999999243,52527.85999999156,52348.459999991996,,,,300,0.04
28,fixed,2700,3000,52289.05999999214,52647.85999999127,52468.459999991705,,,,300,0.056666666666666664
29,fixed,2800,3100,52409.05999999185,52767.85999999098,52588.45999999141,,,,300,0.05
30,fixed,2900,3200,52529.05999999156,52887.85999999069,52708.45999999112,,,,300,0.016666666666666666
31,fixed,3000,3300,52649.05999999127,53007.859999990396,52828.45999999083,,,,300,0.03333333333333333
32,fixed,3100,3400,52769.059999990975,53127.859999990105,52948.45999999054,,,,300,0.1
33,fixed,3200,3500,52889.059999990684,53247.859999989814,53068.45999999025,,,,300,0.15666666666666668
34,fixed,3300,3600,53009.05999999039,53367.85999998952,53188.45999998996,,,,300,0.19
35,fixed,3400,3700,53129.0599999901,53487.85999998923,53308.45999998967,,,,300,0.22333333333333333
36,fixed,3500,3800,53249.05999998981,53607.85999998894,53428.459999989376,,,,300,0.16666666666666666
37,fixed,3600,3900,53369.05999998952,53727.85999998865,53548.459999989085,,,,300,0.13333333333333333
38,fixed,3700,4000,53489.05999998923,53847.85999998836,53668.459999988794,,,,300,0.03333333333333333
39,fixed,3800,4100,53609.05999998894,53967.85999998807,53788.4599999885,,,,300,0.03333333333333333
40,fixed,3900,4200,53729.05999998865,54087.85999998778,53908.45999998821,,,,300,0.016666666666666666
41,fixed,4000,4300,53849.059999988356,54207.859999987486,54028.45999998792,,,,300,0.09
42,fixed,4100,4400,53969.059999988065,54327.859999987195,54148.45999998763,,,,300,0.11
43,fixed,4200,4500,54089.059999987774,54447.859999986904,54268.45999998734,,,,300,0.19666666666666666
