K,alpha,min_keep_score,RMSE,RMSE_Norm,Correlation,Mean_Event_IoU,Mean_PeakPreservationRatio,Mean_AreaPreservationRatio,NumEvents,NumSelectedModes,SelectedModes,ObjectiveScore
7,1500,0.18,0.3909366279401726,0.023043252763102116,0.9757731963638474,0.9943687839931201,0.7932206321607923,0.8764769438488061,78,4,"[1, 2, 3, 4]",0.9375108791002501
6,2000,0.18,0.3863300514438001,0.02277172408302479,0.9763838054011659,0.9943687839931201,0.789584506965037,0.8726745385074463,78,4,"[1, 2, 3, 4]",0.9366156339490318
7,2000,0.18,0.3950743899997173,0.023287147783924402,0.9752772644170475,0.9943687839931201,0.7833393865902127,0.8665043111482523,78,4,"[1, 2, 3, 4]",0.9343478406176745
4,1500,0.18,0.3766585632266931,0.02220165074720969,0.9777059065239744,0.9934530330774347,0.7808020545883846,0.8588563846551316,78,3,"[1, 2, 3]",0.9335154364462055
6,2500,0.18,0.3913624059793319,0.023068349697684638,0.9757831764605087,0.9943687839931201,0.7795390711730177,0.8626553398881638,78,4,"[1, 2, 3, 4]",0.9333816251485073
6,2700,0.18,0.3932245420657495,0.023178110895413037,0.9755599614472379,0.9943687839931201,0.7758091012850956,0.8588760257702731,78,4,"[1, 2, 3, 4]",0.9321719884948856
7,2500,0.18,0.3990433179451252,0.02352109109674842,0.9747986647334707,0.9943687839931201,0.7741578346684691,0.8571532565865622,78,4,"[1, 2, 3, 4]",0.9313898138960592
6,3000,0.18,0.39590321133915174,0.02333600158337694,0.9752378262627995,0.9943687839931201,0.7704839643609137,0.8534071086481069,78,4,"[1, 2, 3, 4]",0.9304328739198328
7,2700,0.18,0.4006117361297522,0.023613539473502046,0.9746084887468691,0.9943687839931201,0.7706139832522915,0.8535467631581656,78,4,"[1, 2, 3, 4]",0.9302466060785344
7,3000,0.18,0.4029777352313532,0.023753000223503216,0.9743201297786537,0.9943687839931201,0.7653984636884632,0.8482386577068687,78,4,"[1, 2, 3, 4]",0.9285611073967115
5,1500,0.18,0.3968594315528416,0.023392364744325406,0.9751706800662615,0.9934530330774347,0.7645032089993838,0.8462770625216155,78,3,"[1, 2, 3]",0.9282522261741208
6,3500,0.18,0.4001335873339571,0.023585355612557795,0.974726307155542,0.9943687839931201,0.7620636999761978,0.8447491243035535,78,4,"[1, 2, 3, 4]",0.9276809183263328
4,2000,0.18,0.38817932244949693,0.022880726965247095,0.9763745915462967,0.9934530330774347,0.76089322721392,0.8394070884977061,78,3,"[1, 2, 3]",0.9271091201174932
7,3500,0.18,0.4074259787492936,0.024015196171413775,0.9737688956987232,0.9943687839931201,0.7564792726478868,0.8391999965524831,78,4,"[1, 2, 3, 4]",0.9256640720605068
5,2000,0.18,0.40507692704441745,0.023876734363743653,0.9741936137894954,0.9934530330774347,0.7471698094694535,0.8283585255502942,78,3,"[1, 2, 3]",0.9225990767248871
4,2500,0.18,0.3980031216535238,0.02345977807474558,0.9752198285837075,0.9934530330774347,0.7439543857451734,0.8220661880471752,78,3,"[1, 2, 3]",0.9215337053115799
4,2700,0.18,0.40164733406152514,0.02367458145114565,0.9747861481287105,0.9916215312461946,0.7376698860360696,0.8155725961769965,78,3,"[1, 2, 3]",0.9190885702505901
5,2500,0.18,0.4127151937775993,0.024326962094852134,0.9732737139043915,0.9944392263712445,0.7314241629929498,0.8120732569694887,78,3,"[1, 2, 3]",0.9176491462209995
4,3000,0.18,0.4068956899611675,0.023983938986210603,0.9741559120944191,0.9897231091557174,0.7287204552456643,0.8062263061587905,78,3,"[1, 2, 3]",0.9157296293188638
5,2700,0.18,0.41568636192041164,0.024502093749507372,0.9729118003163352,0.9928366622688808,0.7254540061283596,0.8059077289855746,78,3,"[1, 2, 3]",0.9153740193625732
5,3000,0.18,0.42008684273977465,0.024761474387065035,0.972370900821878,0.9919209113531954,0.7168226712526996,0.7969724861103048,78,3,"[1, 2, 3]",0.9123558124837929
4,3500,0.18,0.41519594029722223,0.02447318648266162,0.9731443037505628,0.9897231091557174,0.7147557131160459,0.791562007336582,78,3,"[1, 2, 3]",0.911060059216013
5,3500,0.18,0.4273354132021338,0.025188731976652827,0.9714656198366403,0.990638860071272,0.7030446534929781,0.7827898908911611,78,3,"[1, 2, 3]",0.9075721756368722
3,1500,0.18,0.45903999560415715,0.027057517487715833,0.9666695152294137,0.9959657868552481,0.6572344051110982,0.7538650716424321,78,2,"[1, 2]",0.8957610783195036
3,2000,0.18,0.47226337045195216,0.027836952176669098,0.964748014338156,0.9959657868552481,0.6362384953720656,0.7307601277666327,78,2,"[1, 2]",0.8884707163822261
6,1500,0.18,0.5008823054173278,0.029523858199501155,0.9598645759139812,0.994008971740702,0.634937736894454,0.7303957801895646,78,3,"[1, 2, 3]",0.8861870013393632
3,2500,0.18,0.48346032569525194,0.02849694218888147,0.9630835559388852,0.9946837355733249,0.618597406867752,0.7110313055263279,78,2,"[1, 2]",0.8820277074112779
3,2700,0.18,0.48754066304059285,0.028737452384364624,0.9624682340879364,0.9946837355733249,0.6122122858601285,0.7038394390939835,78,2,"[1, 2]",0.8797772012836748
3,3000,0.18,0.49332808268939377,0.029078584333335832,0.9615872094944031,0.9928522337420848,0.6032339768554578,0.6936600546733074,78,2,"[1, 2]",0.8762317077679986
3,3500,0.18,0.5022524941585057,0.02960462219867534,0.9602090303837681,0.9928522337420848,0.5895469109089356,0.6780773971681354,78,2,"[1, 2]",0.8713651950062509
