window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,event_guided,34,335,78961.9599999999,79321.95999999903,79141.95999999947,1,79138.35999999948,79145.55999999946,301,0.12624584717607973
2,event_guided,66,367,79000.35999999981,79360.35999999894,79180.35999999937,2,79176.75999999938,79183.95999999937,301,0.12624584717607973
3,event_guided,98,399,79038.75999999972,79398.75999999885,79218.75999999928,3,79213.9599999993,79223.55999999927,301,0.12624584717607973
4,event_guided,128,428,79074.75999999963,79433.55999999876,79254.15999999919,4,79251.1599999992,79257.15999999919,300,0.12666666666666668
5,event_guided,159,460,79111.95999999954,79471.95999999867,79291.9599999991,5,79287.15999999912,79296.75999999909,301,0.12624584717607973
6,event_guided,554,854,79585.95999999839,79944.75999999752,79765.35999999795,6,79761.15999999797,79769.55999999795,300,0.18
7,event_guided,588,888,79626.75999999829,79985.55999999742,79806.15999999785,7,79788.7599999979,79823.55999999781,300,0.22333333333333333
8,event_guided,624,924,79669.95999999819,80028.75999999732,79849.35999999775,8,79845.15999999776,79853.55999999774,300,0.25
9,event_guided,676,977,79732.35999999804,80092.35999999716,79912.3599999976,9,79908.75999999761,79915.95999999759,301,0.2823920265780731
10,event_guided,707,1007,79769.55999999795,80128.35999999708,79948.95999999752,10,79944.75999999752,79953.1599999975,300,0.2866666666666667
11,event_guided,734,1034,79801.95999999787,80160.759999997,79981.35999999742,11,79978.35999999744,79984.35999999742,300,0.24666666666666667
12,event_guided,770,1071,79845.15999999776,80205.15999999689,80025.15999999733,12,80020.35999999734,80029.95999999731,301,0.18272425249169436
13,event_guided,821,1122,79906.35999999761,80266.35999999674,80086.35999999718,13,80081.55999999719,80091.15999999717,301,0.15614617940199335
14,event_guided,848,1148,79938.75999999754,80297.55999999667,80118.1599999971,14,80113.95999999711,80122.35999999709,300,0.13333333333333333
15,event_guided,1080,1380,80217.15999999686,80575.95999999599,80396.55999999642,15,80392.35999999644,80400.75999999641,300,0.11666666666666667
16,event_guided,1152,1452,80303.55999999665,80662.35999999578,80482.95999999621,16,80477.55999999623,80488.3599999962,300,0.16666666666666666
17,event_guided,1187,1487,80345.55999999655,80704.35999999568,80524.95999999612,17,80520.75999999612,80529.1599999961,300,0.17333333333333334
18,event_guided,1215,1516,80379.15999999647,80739.1599999956,80559.15999999603,18,80554.35999999604,80563.95999999602,301,0.22259136212624583
19,event_guided,1241,1542,80410.35999999639,80770.35999999552,80590.35999999596,19,80586.75999999596,80593.95999999595,301,0.19601328903654486
20,event_guided,1298,1598,80478.75999999623,80837.55999999536,80658.15999999578,20,80653.9599999958,80662.35999999578,300,0.19333333333333333
