window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,event_guided,992,1293,64168.59999999711,64528.59999999624,64348.59999999667,1,64344.99999999668,64352.199999996665,301,0.023255813953488372
2,event_guided,1468,1769,64739.799999995725,65099.79999999485,64919.79999999529,2,64917.399999995294,64922.19999999528,301,0.016611295681063124
3,event_guided,1661,1961,64971.39999999516,65330.19999999429,65150.79999999473,3,65144.199999994744,65157.39999999471,300,0.04
4,event_guided,1900,2201,65258.19999999447,65618.1999999936,65438.19999999403,4,65435.79999999404,65440.599999994025,301,0.016611295681063124
5,event_guided,2247,2547,65674.59999999346,66033.39999999259,65853.99999999302,5,65849.79999999303,65858.19999999301,300,0.04666666666666667
6,event_guided,2354,2654,65802.99999999315,66161.79999999228,65982.39999999272,6,65979.39999999272,65985.3999999927,300,0.06333333333333334
7,event_guided,2447,2748,65914.59999999288,66274.599999992,66094.59999999244,7,66092.19999999244,66096.99999999243,301,0.036544850498338874
8,event_guided,2744,3044,66270.99999999201,66629.79999999114,66450.39999999158,8,66447.39999999158,66453.39999999157,300,0.03333333333333333
9,event_guided,3461,3762,67131.39999998992,67491.39999998905,67311.39999998949,9,67308.9999999895,67313.79999998948,301,0.016611295681063124
10,event_guided,3707,4008,67426.59999998921,67786.59999998834,67606.59999998877,10,67604.19999998878,67608.99999998877,301,0.036544850498338874
11,event_guided,3824,4124,67566.99999998887,67925.799999988,67746.39999998844,11,67743.39999998844,67749.39999998843,300,0.07333333333333333
12,event_guided,3896,4197,67653.39999998866,68013.39999998779,67833.39999998822,12,67827.39999998824,67839.3999999882,301,0.07308970099667775
13,event_guided,4024,4325,67806.99999998829,68166.99999998741,67986.99999998785,13,67984.59999998785,67989.39999998784,301,0.11960132890365449
14,event_guided,4098,4399,67895.79999998807,68255.7999999872,68075.79999998763,14,68073.39999998764,68078.19999998763,301,0.08305647840531562
15,event_guided,4132,4433,67936.59999998797,68296.5999999871,68116.59999998753,15,68108.19999998756,68124.99999998751,301,0.08305647840531562
16,event_guided,4345,4645,68192.19999998735,68550.99999998648,68371.59999998691,16,68368.59999998692,68374.59999998691,300,0.02
17,event_guided,4680,4980,68594.19999998638,68952.9999999855,68773.59999998595,17,68769.39999998595,68777.79999998593,300,0.07
18,event_guided,4795,5095,68732.19999998604,69090.99999998517,68911.5999999856,18,68907.39999998562,68915.7999999856,300,0.07
19,event_guided,4823,5124,68765.79999998596,69125.79999998509,68945.79999998552,19,68943.39999998553,68948.19999998552,301,0.06976744186046512
20,event_guided,5258,5559,69287.7999999847,69647.79999998382,69467.79999998426,20,69459.39999998428,69476.19999998424,301,0.08637873754152824
21,event_guided,5362,5663,69412.59999998439,69772.59999998352,69592.59999998396,21,69590.19999998396,69594.99999998395,301,0.12956810631229235
22,event_guided,5370,5671,69422.19999998437,69782.1999999835,69602.19999998393,22,69599.79999998394,69604.59999998393,301,0.12956810631229235
23,event_guided,5411,5711,69471.39999998425,69830.19999998338,69650.7999999838,23,69647.79999998382,69653.7999999838,300,0.09666666666666666
24,event_guided,5449,5749,69516.99999998414,69875.79999998327,69696.3999999837,24,69692.19999998371,69700.5999999837,300,0.10333333333333333
25,event_guided,5590,5891,69686.19999998373,70046.19999998285,69866.19999998329,25,69862.5999999833,69869.79999998328,301,0.14285714285714285
26,event_guided,5640,5940,69746.19999998358,70104.99999998271,69925.59999998315,26,69921.39999998316,69929.79999998314,300,0.11666666666666667
27,event_guided,5678,5978,69791.79999998347,70150.5999999826,69971.19999998304,27,69968.19999998304,69974.19999998303,300,0.11666666666666667
28,event_guided,5722,6023,69844.59999998334,70204.59999998247,70024.59999998291,28,70020.99999998292,70028.1999999829,301,0.11627906976744186
29,event_guided,5736,6037,69861.3999999833,70221.39999998243,70041.39999998287,29,70037.79999998288,70044.99999998286,301,0.1362126245847176
30,event_guided,5885,6185,70040.19999998287,70398.999999982,70219.59999998243,30,70215.39999998244,70223.79999998242,300,0.15333333333333332
31,event_guided,5916,6217,70077.39999998278,70437.3999999819,70257.39999998234,31,70253.79999998235,70260.99999998233,301,0.1362126245847176
32,event_guided,5985,6285,70160.19999998258,70518.99999998171,70339.59999998214,32,70336.59999998215,70342.59999998214,300,0.20333333333333334
33,event_guided,6026,6326,70209.39999998246,70568.19999998159,70388.79999998203,33,70379.79999998205,70397.799999982,300,0.20333333333333334
34,event_guided,6078,6379,70271.79999998231,70631.79999998143,70451.79999998187,34,70449.39999998188,70454.19999998187,301,0.13953488372093023
35,event_guided,6112,6413,70312.59999998221,70672.59999998134,70492.59999998177,35,70490.19999998178,70494.99999998177,301,0.13953488372093023
36,event_guided,6125,6425,70328.19999998217,70686.9999999813,70507.59999998173,36,70502.19999998175,70512.99999998172,300,0.14
37,event_guided,6389,6690,70644.9999999814,71004.99999998053,70824.99999998097,37,70822.59999998097,70827.39999998096,301,0.016611295681063124
38,event_guided,6692,6993,71008.59999998052,71368.59999997965,71188.59999998008,38,71183.7999999801,71193.39999998007,301,0.09634551495016612
39,event_guided,6744,7045,71070.99999998037,71430.9999999795,71250.99999997993,39,71248.59999997994,71253.39999997993,301,0.09634551495016612
40,event_guided,6792,7092,71128.59999998023,71487.39999997936,71307.9999999798,40,71304.9999999798,71310.99999997979,300,0.09666666666666666
41,event_guided,6820,7121,71162.19999998015,71522.19999997928,71342.19999997971,41,71339.79999997972,71344.5999999797,301,0.09634551495016612
42,event_guided,7008,7308,71387.7999999796,71746.59999997873,71567.19999997917,42,71564.19999997917,71570.19999997916,300,0.11
43,event_guided,7046,7347,71433.39999997949,71793.39999997862,71613.39999997905,43,71607.39999997907,71619.39999997904,301,0.16279069767441862
44,event_guided,7110,7410,71510.1999999793,71868.99999997843,71689.59999997888,44,71686.59999997888,71692.59999997886,300,0.22333333333333333
45,event_guided,7128,7428,71531.79999997925,71890.59999997838,71711.19999997882,45,71705.79999997883,71716.5999999788,300,0.22333333333333333
46,event_guided,7163,7463,71573.79999997915,71932.59999997828,71753.19999997871,46,71750.19999997872,71756.19999997871,300,0.25333333333333335
47,event_guided,7176,7476,71589.39999997911,71948.19999997824,71768.79999997868,47,71763.39999997869,71774.19999997866,300,0.25666666666666665
48,event_guided,7209,7509,71628.99999997902,71987.79999997815,71808.39999997857,48,71804.19999997859,71812.59999997857,300,0.25666666666666665
49,event_guided,7249,7549,71676.9999999789,72035.79999997803,71856.39999997846,49,71850.99999997848,71861.79999997845,300,0.25666666666666665
50,event_guided,7298,7599,71735.79999997876,72095.79999997788,71915.79999997832,50,71907.39999997834,71924.1999999783,301,0.21926910299003322
51,event_guided,7327,7628,71770.59999997867,72130.5999999778,71950.59999997824,51,71948.19999997824,71952.99999997823,301,0.17940199335548174
52,event_guided,7339,7640,71784.99999997864,72144.99999997776,71964.9999999782,52,71961.39999997821,71968.59999997819,301,0.16611295681063123
53,event_guided,7426,7690,71889.39999997838,72204.99999997762,72069.39999997795,53,72066.99999997795,72071.79999997794,264,0.1590909090909091
54,event_guided,7495,7690,71972.19999997818,72204.99999997762,72152.19999997775,54,72149.79999997775,72154.59999997774,195,0.07692307692307693
55,event_guided,7513,7690,71993.79999997813,72204.99999997762,72173.7999999777,55,72171.3999999777,72176.19999997769,177,0.0847457627118644
