Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Mode4_RQA_RR,event_guided,fixed,171,110,0.04850257941870079,0.048532558150365064,0.048646500537659544,0.04865132043496681,0.00018568731782771852,0.00016827135632163588,-2.9978731664270786e-05,-0.16739951452866444,-0.32509303561935143,1.5065282439453605e-06,0.16299412507028857,0.00013257448546719172,0.32509303561935143,0.16739951452866444
VMD_Reconstructed_PS_EigRatio12,event_guided,fixed,171,110,1.3605033218550369,1.697756910815335,1.2385559947904994,1.3361002732706013,0.45356455714640276,0.9043992772687889,-0.3372535889602981,-0.5056199236990933,-0.2512493354598618,0.00038029157156821853,0.0003945190343001739,0.016732829149001614,0.2512493354598618,0.5056199236990933
Pressure_Clean_HFD,event_guided,fixed,171,110,1.384300985537145,1.4250975969601598,1.3850776387726964,1.4206831686819235,0.08495801456893322,0.10354030440590524,-0.04079661142301472,-0.44027162535504577,-0.22073365231259967,0.0017979530966488078,0.0006790046974420903,0.05273995750169836,0.22073365231259967,0.44027162535504577
VMD_Mode4_PFD,event_guided,fixed,171,110,1.0079054940614678,1.007996715252675,1.007965669910041,1.0080609977121677,0.0004241466589442186,0.0004184041381815229,-9.122119120719141e-05,-0.2162088065225184,-0.1849016480595428,0.008586161644162382,0.07732413759694871,0.1888955561715724,0.1849016480595428,0.2162088065225184
Pressure_Clean_PS_EigRatio12,event_guided,fixed,171,110,1.324067891655986,1.590593693182558,1.1939489445442288,1.246355327183227,0.43360290643948773,0.9198439813308589,-0.2665258015265719,-0.3994855574655151,-0.17309941520467836,0.014369352278093963,0.005142446522219427,0.19345988743575057,0.17309941520467836,0.3994855574655151
VMD_Reconstructed_RQA_LAM,event_guided,fixed,171,110,0.9522124508088141,0.9566287140692042,0.9543715846994533,0.9597812102982037,0.018021889498176073,0.019886587379022005,-0.00441626326039013,-0.23525235677786274,-0.16932482721956407,0.01664277632816167,0.060904749501789174,0.19345988743575057,0.16932482721956407,0.23525235677786274
VMD_Mode3_PS_EigRatio12,event_guided,fixed,171,110,1.7810408926895702,1.7226661975424151,1.85469688783488,1.8253475524784506,0.2227387873642605,0.24741696222831414,0.0583746951471551,0.25086699778086147,0.16863370547581075,0.01709196138726567,0.04608743637425242,0.19345988743575057,0.16863370547581075,0.25086699778086147
VMD_Reconstructed_KFD,event_guided,fixed,171,110,1.8915856719924475,1.8264930695671602,1.869671379792177,1.7860137447616453,0.23666425768798402,0.22572044531612528,0.06509260242528736,0.2800283407756727,0.16788942052099948,0.017587262494159143,0.021464845276106488,0.19345988743575057,0.16788942052099948,0.2800283407756727
VMD_Mode4_PS_StepStd,event_guided,fixed,171,110,0.3727224518756625,0.408475880451026,0.30027614863747565,0.3415908316198141,0.286335238509423,0.24539654137248904,-0.03575342857536351,-0.13189343348389332,-0.1491759702286018,0.034903486260040126,0.2655880519832704,0.29214732377355007,0.1491759702286018,0.13189343348389332
VMD_Mode4_RQA_LAM,event_guided,fixed,171,110,0.8889926916777307,0.9010672789840796,0.8927870461236505,0.9084421867440733,0.053546333889814494,0.050215700158193405,-0.012074587306348916,-0.23100245693549426,-0.14731525784157362,0.0372368510204314,0.0564634965914473,0.29214732377355007,0.14731525784157362,0.23100245693549426
VMD_Mode3_PFD,event_guided,fixed,171,110,1.0050939818057982,1.0051796738932928,1.0050748808103556,1.0050946255564577,0.0004046340465984171,0.0004983290267727118,-8.569208749453772e-05,-0.19317394393987167,-0.14625199362041466,0.03764340206140604,0.13230749079340748,0.29214732377355007,0.14625199362041466,0.19317394393987167
VMD_Reconstructed_PS_Eig1,event_guided,fixed,171,110,4.842655121819445,5.988724003173851,2.6026576699792265,3.1556368405423267,5.350769377945853,6.377349747719533,-1.146068881354406,-0.19850154996590563,-0.14120148856990963,0.045861030343789,0.11943970646481869,0.29214732377355007,0.14120148856990963,0.19850154996590563
VMD_Mode3_PS_Eig2,event_guided,fixed,171,110,1.5507595651639816,1.8392773024384803,1.149254778467263,1.2692656941727272,1.6649328542123156,1.694806848118844,-0.2885177372744987,-0.17207809685980638,-0.14109516214779372,0.04602477415864503,0.1621344526316049,0.29214732377355007,0.14109516214779372,0.17207809685980638
VMD_Reconstructed_PFD,event_guided,fixed,171,110,1.0094388768998228,1.00963101778378,1.0094193819330257,1.0096451313196015,0.0010247186059094422,0.0010038890173881254,-0.00019214088395713702,-0.1889975375348909,-0.13902179691653377,0.04911724308430254,0.1217039627748216,0.29214732377355007,0.13902179691653377,0.1889975375348909
VMD_Mode3_PS_StepStd,event_guided,fixed,171,110,0.21702917568543592,0.2471355505843216,0.18578557161723633,0.21028393217769836,0.12366838966848726,0.14089088924552426,-0.03010637489888568,-0.23040471017801156,-0.1368421052631579,0.052989962318191974,0.06827774985079417,0.29214732377355007,0.1368421052631579,0.23040471017801156
VMD_Reconstructed_HFD,event_guided,fixed,171,110,1.2397445165466205,1.2521776441035144,1.2427847798986005,1.2513123735200997,0.04141584163060441,0.04771023083802304,-0.012433127556893853,-0.2826848704858769,-0.13503455608718767,0.056206217632073716,0.02594342098106096,0.29214732377355007,0.13503455608718767,0.2826848704858769
VMD_Reconstructed_RQA_V_mean,event_guided,fixed,171,110,5.220404094255804,5.58927818981595,4.8008356545961,5.089781128085762,1.5064974734766232,1.7154934835388769,-0.3688740955601455,-0.23178950548316132,-0.13237639553429026,0.061229955814916935,0.06662038724390627,0.29214732377355007,0.13237639553429026,0.23178950548316132
VMD_Reconstructed_RQA_TT,event_guided,fixed,171,110,5.220404094255804,5.58927818981595,4.8008356545961,5.089781128085762,1.5064974734766232,1.7154934835388769,-0.3688740955601455,-0.23178950548316132,-0.13237639553429026,0.061229955814916935,0.06662038724390627,0.29214732377355007,0.13237639553429026,0.23178950548316132
VMD_Mode4_PS_TrajectoryLength,event_guided,fixed,171,110,174.17159897515938,181.59913423653887,161.7105349583154,167.70101215176578,49.88681633619637,45.54724400884849,-7.427535261379489,-0.15397711427538394,-0.12993088782562467,0.06617486780476418,0.20001190283977868,0.29214732377355007,0.12993088782562467,0.15397711427538394
VMD_Mode4_PS_Eig2,event_guided,fixed,171,110,1.7630802803942731,1.8062172458963366,1.0919235019287514,1.280034712029909,3.61925006977508,1.6893998601767084,-0.04313696550206347,-0.014302528482093731,-0.12982456140350876,0.0663971190394432,0.8929495598957016,0.29214732377355007,0.12982456140350876,0.014302528482093731
VMD_Mode3_SampEn,event_guided,fixed,171,110,0.49772895023199204,0.4761870107623078,0.5225890889041347,0.49993411701716617,0.09377622669140803,0.10539943787977642,0.021541939469684246,0.21874294842485797,0.12737905369484318,0.07168092141490595,0.0824481168110648,0.3003771945005583,0.12737905369484318,0.21874294842485797
VMD_Mode4_PS_MeanStep,event_guided,fixed,171,110,0.6019893641924674,0.6258274641668368,0.5574535408775236,0.5768860193786065,0.1706442669751684,0.15788983722839758,-0.023838099974369364,-0.14379515015853642,-0.12312599681020733,0.08168778270149572,0.23264687172578796,0.3267511308059829,0.12312599681020733,0.14379515015853642
VMD_Reconstructed_RQA_DET,event_guided,fixed,171,110,0.9161208095642639,0.9233868683354747,0.9233870967741933,0.9309829321448684,0.04004038033861215,0.03997988082927529,-0.007266058771210782,-0.18157541089791265,-0.11610845295055822,0.1006506052936664,0.13861127042308327,0.34112447639592736,0.11610845295055822,0.18157541089791265
VMD_Mode4_PS_Eig1,event_guided,fixed,171,110,2.9993749385260395,3.1774090655372547,1.984250627141843,2.1756793101781495,4.580200919128395,2.8979943918445996,-0.17803412701121513,-0.044420438112082294,-0.11600212652844231,0.10096307838384946,0.690149383617694,0.34112447639592736,0.11600212652844231,0.044420438112082294
VMD_Mode3_RQA_V_mean,event_guided,fixed,171,110,5.100475046368127,5.318973992184229,4.574938574938575,4.835250833982407,2.0874393924926293,1.9822255564491633,-0.2184989458161013,-0.10674219868136665,-0.11504518872939926,0.10380811484548788,0.3779994298780671,0.34112447639592736,0.11504518872939926,0.10674219868136665
VMD_Mode3_RQA_TT,event_guided,fixed,171,110,5.100475046368127,5.318973992184229,4.574938574938575,4.835250833982407,2.0874393924926293,1.9822255564491633,-0.2184989458161013,-0.10674219868136665,-0.11504518872939926,0.10380811484548788,0.3779994298780671,0.34112447639592736,0.11504518872939926,0.10674219868136665
VMD_Mode3_PS_Eig1,event_guided,fixed,171,110,2.6415796256316657,2.9924541367993425,2.050681685194469,2.265260316637951,2.3749599238926375,2.4295572819154096,-0.35087451116767676,-0.14641500927011217,-0.1137692716640085,0.10770017675490187,0.2344958424569211,0.34112447639592736,0.1137692716640085,0.14641500927011217
VMD_Mode3_RQA_RR,event_guided,fixed,171,110,0.04757570948349727,0.047582941043249026,0.047586559781681734,0.047601521285731814,0.00030244743991881824,0.00028700302477592776,-7.231559751755268e-06,-0.024388975768201558,-0.11089845826687932,0.10853960612597688,0.840218242399907,0.34112447639592736,0.11089845826687932,0.024388975768201558
VMD_Mode4_PS_StateSpread,event_guided,fixed,171,110,1.6999024291714209,1.756300787258134,1.555111280977968,1.6192201671371929,0.46915698084797586,0.4340561446764773,-0.05639835808671312,-0.1237442123669494,-0.11047315257841574,0.11829031055869844,0.30416593370829725,0.35326526948608766,0.11047315257841574,0.1237442123669494
VMD_Mode3_PS_LogVolume,event_guided,fixed,171,110,-1.433734803060225,-1.1211508577491793,-1.5336772284428493,-1.3022075590456532,1.4769442289063301,1.7343875644080458,-0.3125839453110457,-0.19752350522557233,-0.10983519404572036,0.12043134187025714,0.12008122068857398,0.35326526948608766,0.10983519404572036,0.19752350522557233
VMD_Mode3_KFD,event_guided,fixed,171,110,1.9554092668542384,1.928533966996808,1.957504476081674,1.9298944613828228,0.162579345997706,0.18269773893280805,0.026875299857430424,0.15742175377233225,0.10760233918128655,0.12816452866689348,0.21057165332066877,0.3629851755417058,0.10760233918128655,0.15742175377233225
Pressure_Clean_KFD,event_guided,fixed,171,110,2.0440078841213962,1.9966209294427006,2.019856417350433,1.9489593181238005,0.25956313322319097,0.23590267971844595,0.04738695467869558,0.18910494237089287,0.10547581073896864,0.13588320923782765,0.11546012400803285,0.3629851755417058,0.10547581073896864,0.18910494237089287
Pressure_Clean_RQA_DET,event_guided,fixed,171,110,0.7599055159210683,0.741081793312051,0.7786885245901637,0.7626695343691341,0.09534630964451159,0.10663767019384356,0.018823722609017213,0.18840748446115158,0.1037745879851143,0.14231254297180743,0.13393031215172216,0.3629851755417058,0.1037745879851143,0.18840748446115158
Pressure_Clean_PFD,event_guided,fixed,171,110,1.0203224258767367,1.0209507085949598,1.0200544742099757,1.0204890040992778,0.0031984886120831183,0.003663872457435934,-0.0006282827182231276,-0.1854477682614989,-0.10329611908559277,0.14407473968662277,0.14217627001488997,0.3629851755417058,0.10329611908559277,0.1854477682614989
