window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,event_guided,0,170,50452.76,50655.55999999951,50475.55999999995,1,50469.55999999996,50481.55999999993,170,0.24705882352941178
2,event_guided,0,251,50452.76,50752.759999999274,50572.75999999971,2,50570.35999999972,50575.159999999705,251,0.22310756972111553
3,event_guided,0,266,50452.76,50770.75999999923,50590.75999999967,3,50587.159999999676,50594.35999999966,266,0.21052631578947367
4,event_guided,0,299,50452.76,50810.359999999135,50630.95999999957,4,50626.75999999958,50635.15999999956,299,0.22408026755852842
5,event_guided,12,313,50467.15999999997,50827.159999999094,50647.15999999953,5,50641.159999999545,50653.159999999516,301,0.22259136212624583
6,event_guided,56,357,50519.95999999984,50879.959999998966,50699.9599999994,6,50696.35999999941,50703.559999999394,301,0.23588039867109634
7,event_guided,78,379,50546.359999999775,50906.3599999989,50726.35999999934,7,50722.75999999935,50729.95999999933,301,0.25249169435215946
8,event_guided,129,430,50607.55999999963,50967.55999999875,50787.55999999919,8,50785.159999999196,50789.959999999184,301,0.24584717607973422
9,event_guided,146,446,50627.95999999958,50986.75999999871,50807.35999999914,9,50804.35999999915,50810.359999999135,300,0.24666666666666667
10,event_guided,182,482,50671.15999999947,51029.9599999986,50850.55999999904,10,50845.15999999905,50855.959999999024,300,0.20333333333333334
11,event_guided,204,505,50697.55999999941,51057.559999998535,50877.55999999897,11,50875.15999999898,50879.959999998966,301,0.19933554817275748
12,event_guided,228,529,50726.35999999934,51086.359999998465,50906.3599999989,12,50901.55999999891,50911.15999999889,301,0.19269102990033224
13,event_guided,264,564,50769.559999999234,51128.35999999836,50948.9599999988,13,50945.959999998806,50951.95999999879,300,0.19666666666666666
14,event_guided,298,598,50810.359999999135,51169.159999998265,50989.7599999987,14,50986.75999999871,50992.75999999869,300,0.17666666666666667
15,event_guided,361,662,50885.95999999895,51245.95999999808,51065.959999998515,15,51062.35999999852,51069.559999998506,301,0.17275747508305647
16,event_guided,402,703,50935.15999999883,51295.15999999796,51115.159999998396,16,51112.7599999984,51117.55999999839,301,0.19269102990033224
17,event_guided,446,747,50987.959999998704,51347.95999999783,51167.95999999827,17,51165.55999999827,51170.35999999826,301,0.21262458471760798
18,event_guided,475,775,51022.75999999862,51381.55999999775,51202.159999998185,18,51194.3599999982,51209.959999998166,300,0.21333333333333335
