Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Mode4_RQA_RR,event_guided,fixed,171,171,0.04850257941870079,0.04851955166085654,0.048646500537659544,0.04865132043496681,0.00018568731782771852,0.00017162831020340043,-1.697224215574389e-05,-0.09492515023119905,-0.2897301733866831,1.0603663631111427e-06,0.3807101530452468,9.331223995378055e-05,0.2897301733866831,0.09492515023119905
VMD_Reconstructed_PS_EigRatio12,event_guided,fixed,171,171,1.3605033218550369,1.6527903203486431,1.2385559947904994,1.322299068191959,0.45356455714640276,0.8488543744921847,-0.2922869984936063,-0.42949155414416934,-0.2110392941417872,0.0007396386502829006,9.259352332546886e-05,0.03254410061244763,0.2110392941417872,0.42949155414416934
Pressure_Clean_HFD,event_guided,fixed,171,171,1.384300985537145,1.4208686312033476,1.3850776387726964,1.417443780439127,0.08495801456893322,0.10232099832348725,-0.03656764566620252,-0.38884755613128696,-0.197838651208919,0.0015597006491546936,0.0003733643578651524,0.04575121904187101,0.197838651208919,0.38884755613128696
VMD_Mode3_PS_EigRatio12,event_guided,fixed,171,171,1.7810408926895702,1.7257879555971063,1.85469688783488,1.8104406988502366,0.2227387873642605,0.23589622608633712,0.05525293709246393,0.2408460430237513,0.17779829691187032,0.004471218419692958,0.026603031409909935,0.09836680523324508,0.17779829691187032,0.2408460430237513
VMD_Mode3_PFD,event_guided,fixed,171,171,1.0050939818057982,1.0051760387553519,1.0050748808103556,1.0050946255564577,0.0004046340465984171,0.0004777909964766277,-8.205694955365495e-05,-0.18534469503051523,-0.15433808693273143,0.013061051023521158,0.0874993733782006,0.19419018349562478,0.15433808693273143,0.18534469503051523
VMD_Reconstructed_KFD,event_guided,fixed,171,171,1.8915856719924475,1.8310089163360137,1.869671379792177,1.8179310952907446,0.23666425768798402,0.22469412335539024,0.060576755656433834,0.2625133925006544,0.15426968981908964,0.013641258247605096,0.01572930828237204,0.19419018349562478,0.15426968981908964,0.2625133925006544
Pressure_Clean_PS_EigRatio12,event_guided,fixed,171,171,1.324067891655986,1.5830376451432426,1.1939489445442288,1.2620448617990427,0.4336029064394877,0.9047746282243126,-0.2589697534872566,-0.3650307130526902,-0.15146540815977566,0.015446946414424697,0.0008576290055376305,0.19419018349562478,0.15146540815977566,0.3650307130526902
VMD_Reconstructed_RQA_LAM,event_guided,fixed,171,171,0.9522124508088141,0.9564050098308181,0.9543715846994533,0.9592933947772655,0.018021889498176073,0.017690380985832376,-0.004192559022003994,-0.23478643845031463,-0.1456516535002223,0.019871910379748097,0.030624187540257815,0.19801960761794413,0.1456516535002223,0.23478643845031463
VMD_Mode4_RQA_LAM,event_guided,fixed,171,171,0.8889926916777307,0.9008727781355644,0.8927870461236505,0.911949685534591,0.053546333889814494,0.04757018724876421,-0.011880086457833783,-0.23456883143292315,-0.14520707226155055,0.020252005324562467,0.03078733246675944,0.19801960761794413,0.14520707226155055,0.23456883143292315
VMD_Mode4_PFD,event_guided,fixed,171,171,1.0079054940614678,1.0079677768260373,1.007965669910041,1.0080609977121677,0.00042414665894421866,0.0004073511165453415,-6.22827645695434e-05,-0.1497780618072298,-0.14178721657946033,0.022559004095089118,0.1669800505340004,0.19851923603678423,0.14178721657946033,0.1497780618072298
