window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,event_guided,9,310,80246.10999999997,80606.1099999991,80426.10999999953,1,80421.30999999955,80430.90999999952,301,0.04983388704318937
2,event_guided,89,389,80342.10999999974,80700.90999999887,80521.50999999931,2,80518.50999999931,80524.5099999993,300,0.05
3,event_guided,293,594,80586.90999999914,80946.90999999827,80766.90999999871,3,80759.70999999873,80774.10999999869,301,0.04318936877076412
4,event_guided,617,918,80975.7099999982,81335.70999999733,81155.70999999777,4,81153.30999999777,81158.10999999776,301,0.06312292358803986
5,event_guided,682,982,81053.70999999801,81412.50999999714,81233.10999999757,5,81228.90999999759,81237.30999999757,300,0.06333333333333334
6,event_guided,713,1013,81090.90999999792,81449.70999999705,81270.3099999975,6,81267.3099999975,81273.30999999748,300,0.06333333333333334
7,event_guided,1894,2194,82508.10999999449,82866.90999999362,82687.50999999404,7,82684.50999999406,82690.50999999404,300,0.02
8,event_guided,2159,2460,82826.10999999371,83186.10999999284,83006.10999999328,8,83002.50999999329,83009.70999999327,301,0.023255813953488372
9,event_guided,2553,2854,83298.90999999257,83658.9099999917,83478.90999999213,9,83476.50999999214,83481.30999999213,301,0.04318936877076412
10,event_guided,2666,2966,83434.50999999224,83793.30999999137,83613.9099999918,10,83609.70999999181,83618.1099999918,300,0.043333333333333335
11,event_guided,3430,3730,84351.30999999002,84710.10999998914,84530.70999998957,11,84526.50999998959,84534.90999998957,300,0.02666666666666667
12,event_guided,3780,4081,84771.309999989,85131.30999998812,84951.30999998856,12,84947.70999998857,84954.90999998855,301,0.036544850498338874
13,event_guided,4459,4710,85586.10999998702,85886.10999998629,85766.10999998658,13,85762.50999998659,85769.70999998657,251,0.027888446215139442
