window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,fixed,0,300,80235.31,80594.10999999913,80414.70999999956,,,,300,0.05
2,fixed,100,400,80355.3099999997,80714.10999999884,80534.70999999926,,,,300,0.05
3,fixed,200,500,80475.30999999942,80834.10999999855,80654.70999999897,,,,300,0.06333333333333334
4,fixed,300,600,80595.30999999912,80954.10999999825,80774.70999999868,,,,300,0.043333333333333335
5,fixed,400,700,80715.30999999883,81074.10999999796,80894.70999999839,,,,300,0.043333333333333335
6,fixed,500,800,80835.30999999854,81194.10999999767,81014.7099999981,,,,300,0.016666666666666666
7,fixed,600,900,80955.30999999825,81314.10999999738,81134.70999999781,,,,300,0.06333333333333334
8,fixed,700,1000,81075.30999999796,81434.10999999709,81254.70999999752,,,,300,0.06333333333333334
9,fixed,800,1100,81195.30999999767,81554.1099999968,81374.70999999723,,,,300,0.04666666666666667
10,fixed,900,1200,81315.30999999738,81674.10999999651,81494.70999999694,,,,300,0.0
11,fixed,1000,1300,81435.30999999709,81794.10999999622,81614.70999999664,,,,300,0.0
12,fixed,1100,1400,81555.3099999968,81914.10999999593,81734.70999999635,,,,300,0.0
13,fixed,1200,1500,81675.3099999965,82034.10999999564,81854.70999999606,,,,300,0.0
14,fixed,1300,1600,81795.30999999621,82154.10999999534,81974.70999999577,,,,300,0.0
15,fixed,1400,1700,81915.30999999592,82274.10999999505,82094.70999999548,,,,300,0.0
16,fixed,1500,1800,82035.30999999563,82394.10999999476,82214.70999999519,,,,300,0.0
17,fixed,1600,1900,82155.30999999534,82514.10999999447,82334.7099999949,,,,300,0.0
18,fixed,1700,2000,82275.30999999505,82634.10999999418,82454.70999999461,,,,300,0.0
19,fixed,1800,2100,82395.30999999476,82754.10999999389,82574.70999999432,,,,300,0.02
20,fixed,1900,2200,82515.30999999447,82874.1099999936,82694.70999999403,,,,300,0.02
21,fixed,2000,2300,82635.30999999418,82994.1099999933,82814.70999999373,,,,300,0.02
22,fixed,2100,2400,82755.30999999389,83114.10999999302,82934.70999999344,,,,300,0.023333333333333334
23,fixed,2200,2500,82875.3099999936,83234.10999999272,83054.70999999315,,,,300,0.023333333333333334
24,fixed,2300,2600,82995.3099999933,83354.10999999243,83174.70999999286,,,,300,0.023333333333333334
25,fixed,2400,2700,83115.30999999301,83474.10999999214,83294.70999999257,,,,300,0.0
26,fixed,2500,2800,83235.30999999272,83594.10999999185,83414.70999999228,,,,300,0.016666666666666666
27,fixed,2600,2900,83355.30999999243,83714.10999999156,83534.70999999199,,,,300,0.043333333333333335
28,fixed,2700,3000,83475.30999999214,83834.10999999127,83654.7099999917,,,,300,0.043333333333333335
29,fixed,2800,3100,83595.30999999185,83954.10999999098,83774.7099999914,,,,300,0.02666666666666667
30,fixed,2900,3200,83715.30999999156,84074.10999999069,83894.70999999112,,,,300,0.0
31,fixed,3000,3300,83835.30999999127,84194.1099999904,84014.70999999082,,,,300,0.0
32,fixed,3100,3400,83955.30999999098,84314.1099999901,84134.70999999053,,,,300,0.0
33,fixed,3200,3500,84075.30999999068,84434.10999998981,84254.70999999024,,,,300,0.0
34,fixed,3300,3600,84195.3099999904,84554.10999998952,84374.70999998995,,,,300,0.02666666666666667
35,fixed,3400,3700,84315.3099999901,84674.10999998923,84494.70999998966,,,,300,0.02666666666666667
36,fixed,3500,3800,84435.30999998981,84794.10999998894,84614.70999998937,,,,300,0.02666666666666667
37,fixed,3600,3900,84555.30999998952,84914.10999998865,84734.70999998908,,,,300,0.0
38,fixed,3700,4000,84675.30999998923,85034.10999998836,84854.70999998879,,,,300,0.03666666666666667
39,fixed,3800,4100,84795.30999998894,85154.10999998807,84974.7099999885,,,,300,0.03666666666666667
40,fixed,3900,4200,84915.30999998865,85274.10999998778,85094.7099999882,,,,300,0.03666666666666667
41,fixed,4000,4300,85035.30999998836,85394.10999998749,85214.70999998791,,,,300,0.0
42,fixed,4100,4400,85155.30999998807,85514.1099999872,85334.70999998762,,,,300,0.0
43,fixed,4200,4500,85275.30999998777,85634.1099999869,85454.70999998733,,,,300,0.0
44,fixed,4300,4600,85395.30999998748,85754.10999998661,85574.70999998704,,,,300,0.0
45,fixed,4400,4700,85515.30999998719,85874.10999998632,85694.70999998675,,,,300,0.023333333333333334
