Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
Pressure_Clean_KFD,event_guided,fixed,13,13,1.973202477720646,2.2045425307139497,1.964472266434063,2.101186624480641,0.1577729918836501,0.3420578581303528,-0.23134005299330362,-0.8685221770755656,-0.5621301775147929,0.01594131251480136,0.04085938156382525,0.870645208155356,0.5621301775147929,0.8685221770755656
VMD_Reconstructed_KFD,event_guided,fixed,13,13,1.743868511514008,1.8901431134701525,1.7305202337272863,1.9382683066320858,0.14435371239984046,0.13770318229111034,-0.1462746019561445,-1.0369110676508575,-0.5384615384615384,0.021016256227518675,0.014240310471037911,0.870645208155356,0.5384615384615384,1.0369110676508575
Pressure_Clean_HFD,event_guided,fixed,13,13,1.5318388070151199,1.60009927867759,1.5165695467111464,1.5666631284573822,0.044575723372364214,0.11386970230338905,-0.06826047166247018,-0.7894337658529864,-0.46745562130177515,0.0455002638963584,0.06175037416102654,0.870645208155356,0.46745562130177515,0.7894337658529864
VMD_Mode3_RQA_epsilon,event_guided,fixed,13,13,0.7152943602636486,0.6814687884846288,0.7053034923935928,0.6837199278024667,0.0469852220313301,0.03175889787256696,0.03382557177901979,0.843501790511181,0.4319526627218935,0.06486987027995908,0.04327334775675269,0.870645208155356,0.4319526627218935,0.843501790511181
Pressure_Clean_PS_TrajectoryLength,event_guided,fixed,13,13,252.0474828897688,305.99479325635315,259.05760430761586,289.7904632524306,32.2749039522485,88.74912199065257,-53.94731036658436,-0.8078843745467954,-0.4319526627218935,0.06486987027995908,0.057076101382898835,0.870645208155356,0.4319526627218935,0.8078843745467954
Pressure_Clean_RQA_L_max,event_guided,fixed,13,13,15.307692307692308,22.23076923076923,14.0,18.0,6.23678089221001,10.441534419118724,-6.923076923076922,-0.8050005720723691,-0.40828402366863903,0.08019055799048548,0.053735517807582185,0.870645208155356,0.40828402366863903,0.8050005720723691
VMD_Reconstructed_HFD,event_guided,fixed,13,13,1.3605158029923936,1.3936466934983152,1.3569987651746018,1.3758182153132827,0.03576671868702657,0.06401810690799936,-0.03313089050592155,-0.638932267321291,-0.40828402366863903,0.08123065302087974,0.11993932237514952,0.870645208155356,0.40828402366863903,0.638932267321291
Pressure_Clean_RQA_RR,event_guided,fixed,13,13,0.04770313783785552,0.048236379441801334,0.04785243741765481,0.04825796886582654,0.0006367166957948966,0.0007633821876199735,-0.0005332416039458138,-0.7586217251573408,-0.39644970414201186,0.08904325992497958,0.06536069496804266,0.870645208155356,0.39644970414201186,0.7586217251573408
VMD_Mode3_ApproxLLE,event_guided,fixed,13,13,0.08888155160180092,0.08461481210745059,0.09285901026776451,0.08544675051115784,0.01925645338966454,0.009144894878662112,0.00426673949435033,0.283056285071686,0.3727810650887574,0.11189261385062192,0.48023046451198825,0.8799771793509231,0.3727810650887574,0.283056285071686
VMD_Mode3_RQA_RR,event_guided,fixed,13,13,0.04854480732607341,0.048570183158376246,0.048646500537659544,0.04865132043496681,0.00016253405173650168,0.00015418454804669944,-2.5375832302838852e-05,-0.1601864811707345,-0.3727810650887574,0.08113080300857611,0.6866131677923123,0.870645208155356,0.3727810650887574,0.1601864811707345
