Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Mode3_ApproxLLE,event_guided,fixed,13,13,0.08888155160180092,0.08461481210745059,0.09285901026776451,0.08544675051115784,0.01925645338966454,0.009144894878662112,0.00426673949435033,0.283056285071686,0.3727810650887574,0.11189261385062192,0.48023046451198825,0.8799771793509231,0.3727810650887574,0.283056285071686
VMD_Mode3_RQA_LAM,event_guided,fixed,13,13,0.9274218304790876,0.9099194909127386,0.9257568476693895,0.9071117561683597,0.02649032430716167,0.03886836370251756,0.017502339566348946,0.5262241091234853,0.26627218934911245,0.2591518580286952,0.19393681122861609,0.9017817523015345,0.26627218934911245,0.5262241091234853
VMD_Mode3_PermEn,event_guided,fixed,13,13,0.9682483071653902,0.9728037276699801,0.965607088236414,0.9699467004782862,0.016245187652259848,0.013248673944932959,-0.004555420504589902,-0.30732429738905953,-0.23076923076923078,0.3298783320498747,0.44128951177426123,0.9017817523015345,0.23076923076923078,0.30732429738905953
VMD_Mode3_SampEn,event_guided,fixed,13,13,0.5109762324207817,0.5306485955550154,0.5298389850368634,0.573685720320863,0.0753788157845283,0.10025018799485858,-0.019672363134233706,-0.2218087373522942,-0.20710059171597633,0.3833202927297332,0.5773819496984516,0.9017817523015345,0.20710059171597633,0.2218087373522942
VMD_Mode3_RQA_DET,event_guided,fixed,13,13,0.9673942976348909,0.9659106905588887,0.973089860643921,0.9649209486166006,0.015770851021262782,0.009667679090116768,0.001483607076002258,0.11342380077652983,0.15384615384615385,0.521434816221583,0.7754380834850045,0.9017817523015345,0.15384615384615385,0.11342380077652983
VMD_Mode4_PermEn,event_guided,fixed,13,13,0.9455727705324348,0.9366016322010204,0.9391816439683877,0.9354971518736565,0.02368834839063879,0.00941760157060661,0.008971138331414386,0.4976946632261927,0.14792899408284024,0.5383007490187228,0.22297406187757815,0.9017817523015345,0.14792899408284024,0.4976946632261927
VMD_Mode3_PS_LogVolume,event_guided,fixed,13,13,0.3812948324183262,0.1425928758625938,0.05357624125818572,-0.605273353331661,1.4134265912592552,1.8388768857307831,0.23870195655573237,0.1455493927181077,0.1242603550295858,0.6080768794659228,0.7140477395211191,0.9017817523015345,0.1242603550295858,0.1455493927181077
VMD_Mode4_RQA_LAM,event_guided,fixed,13,13,0.6999037735628354,0.750517820155703,0.7379294336118847,0.7546425255338903,0.1751184488966416,0.11025697408489554,-0.05061404659286761,-0.3458972836426311,-0.11242603550295859,0.6444123337698114,0.3882103586054343,0.9017817523015345,0.11242603550295859,0.3458972836426311
VMD_Mode4_HFD,event_guided,fixed,13,13,1.971366706751399,1.9649359061601883,1.9711114608104645,1.95891155456162,0.038491867534300485,0.022600287220356032,0.006430800591210595,0.20374741985022457,0.08875739644970414,0.7196142711598057,0.6093205263656076,0.9017817523015345,0.08875739644970414,0.20374741985022457
VMD_Mode3_HFD,event_guided,fixed,13,13,1.2977925383171647,1.3013851633952633,1.3018141680566984,1.3021506248122743,0.01776558670976966,0.02040920965689902,-0.0035926250780986546,-0.18777003842200649,-0.08875739644970414,0.7196142711598057,0.6365510883150511,0.9017817523015345,0.08875739644970414,0.18777003842200649
VMD_Mode4_SampEn,event_guided,fixed,13,13,0.5034049637384906,0.4931167997270038,0.5127255229277237,0.5459943440680073,0.09466900332206114,0.13960629644221206,0.010288164011486856,0.08625721306391489,-0.08875739644970414,0.7196142711598057,0.828051148331913,0.9017817523015345,0.08875739644970414,0.08625721306391489
VMD_Mode4_PS_LogVolume,event_guided,fixed,13,13,-0.8945489124463127,-0.42329902886509285,-0.328621086548071,-0.6816146534976908,1.6432301382904921,1.9118334718186223,-0.4712498835812199,-0.26436125091446816,-0.07692307692307693,0.7583164735262904,0.5069010476198264,0.9017817523015345,0.07692307692307693,0.26436125091446816
VMD_Mode4_RQA_DET,event_guided,fixed,13,13,0.9328030635241189,0.9388972216270266,0.9401114206128132,0.9405756731662022,0.03169856390035545,0.016078313826801922,-0.0060941581029076985,-0.24247867707920445,-0.01775147928994083,0.9591007702858605,0.5442759803813924,1.0,0.01775147928994083,0.24247867707920445
VMD_Mode4_ApproxLLE,event_guided,fixed,13,13,0.12015582566197774,0.12058498222352566,0.11996325878376116,0.1211487029040528,0.014977541943238935,0.010437876880034336,-0.00042915656154791926,-0.033245181707840986,0.005917159763313609,1.0,0.9332398563590399,1.0,0.005917159763313609,0.033245181707840986
