window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,event_guided,101,402,72790.4899999997,73150.48999999883,72970.48999999926,1,72966.88999999927,72974.08999999925,301,0.023255813953488372
2,event_guided,775,1075,73599.28999999774,73958.08999999687,73778.6899999973,2,73764.88999999734,73792.48999999727,300,0.15
3,event_guided,851,1152,73690.48999999752,74050.48999999664,73870.48999999708,3,73858.48999999711,73882.48999999705,301,0.17940199335548174
4,event_guided,946,1247,73804.48999999724,74164.48999999637,73984.4899999968,4,73979.68999999682,73989.28999999679,301,0.12956810631229235
5,event_guided,1073,1374,73956.88999999687,74316.889999996,74136.88999999643,5,74132.08999999645,74141.68999999642,301,0.10299003322259136
6,event_guided,1106,1407,73996.48999999677,74356.4899999959,74176.48999999634,6,74172.88999999635,74180.08999999633,301,0.07641196013289037
7,event_guided,1221,1522,74134.48999999644,74494.48999999557,74314.489999996,7,74310.88999999601,74318.089999996,301,0.08970099667774087
8,event_guided,1341,1641,74278.48999999609,74637.28999999522,74457.88999999565,8,74454.88999999566,74460.88999999565,300,0.08
9,event_guided,1387,1688,74333.68999999596,74693.68999999508,74513.68999999552,9,74507.68999999553,74519.6899999955,301,0.05647840531561462
10,event_guided,1625,1926,74619.28999999526,74979.28999999439,74799.28999999483,10,74792.08999999485,74806.48999999481,301,0.04318936877076412
11,event_guided,2013,2313,75084.88999999413,75443.68999999326,75264.28999999369,11,75258.88999999371,75269.68999999369,300,0.08333333333333333
12,event_guided,2095,2396,75183.2899999939,75543.28999999302,75363.28999999346,12,75354.88999999348,75371.68999999344,301,0.1362126245847176
13,event_guided,2177,2477,75281.68999999366,75640.48999999279,75461.08999999322,13,75452.08999999324,75470.0899999932,300,0.10333333333333333
14,event_guided,2428,2728,75582.88999999293,75941.68999999206,75762.2899999925,14,75754.48999999251,75770.08999999247,300,0.04666666666666667
15,event_guided,2930,3231,76185.28999999147,76545.2899999906,76365.28999999103,15,76362.88999999104,76367.68999999102,301,0.016611295681063124
16,event_guided,3214,3514,76526.08999999064,76884.88999998977,76705.48999999021,16,76702.48999999021,76708.4899999902,300,0.04
17,event_guided,3225,3525,76539.28999999061,76898.08999998974,76718.68999999017,17,76715.68999999018,76721.68999999017,300,0.04
18,event_guided,3392,3692,76739.68999999012,77098.48999998925,76919.0899999897,18,76914.8899999897,76923.28999998968,300,0.06666666666666667
19,event_guided,3473,3774,76836.88999998989,77196.88999998901,77016.88999998945,19,77014.48999998946,77019.28999998944,301,0.0664451827242525
20,event_guided,3523,3824,76896.88999998974,77256.88999998887,77076.8899999893,20,77073.28999998931,77080.4899999893,301,0.0664451827242525
21,event_guided,3996,4297,77464.48999998836,77824.48999998749,77644.48999998793,21,77637.28999998794,77651.68999998791,301,0.04318936877076412
22,event_guided,4272,4573,77795.68999998756,78155.68999998669,77975.68999998712,22,77973.28999998713,77978.08999998712,301,0.016611295681063124
23,event_guided,4435,4736,77991.28999998709,78351.28999998621,78171.28999998665,23,78168.88999998666,78173.68999998664,301,0.016611295681063124
24,event_guided,4651,4952,78250.48999998646,78610.48999998558,78430.48999998602,24,78428.08999998603,78432.88999998602,301,0.07308970099667775
25,event_guided,4696,4997,78304.48999998633,78664.48999998545,78484.48999998589,25,78480.8899999859,78488.08999998588,301,0.07308970099667775
26,event_guided,4778,5078,78402.88999998609,78761.68999998522,78582.28999998566,26,78576.88999998567,78587.68999998564,300,0.07333333333333333
27,event_guided,5040,5340,78717.28999998533,79076.08999998446,78896.6899999849,27,78891.2899999849,78902.08999998488,300,0.05333333333333334
28,event_guided,5104,5404,78794.08999998514,79152.88999998427,78973.48999998471,28,78970.48999998471,78976.4899999847,300,0.05333333333333334
29,event_guided,5710,6010,79521.28999998338,79880.0899999825,79700.68999998295,29,79643.68999998308,79757.6899999828,300,0.38333333333333336
30,event_guided,5832,6133,79667.68999998302,80027.68999998215,79847.68999998258,30,79836.88999998261,79858.48999998256,301,0.34219269102990035
31,event_guided,5935,6235,79791.28999998272,80150.08999998185,79970.68999998228,31,79966.4899999823,79974.88999998228,300,0.17
32,event_guided,6047,6348,79925.6899999824,80285.68999998152,80105.68999998196,32,80099.68999998197,80111.68999998194,301,0.10631229235880399
33,event_guided,6070,6371,79953.28999998233,80313.28999998145,80133.28999998189,33,80126.08999998191,80140.48999998187,301,0.10631229235880399
34,event_guided,6327,6628,80261.68999998158,80621.6899999807,80441.68999998114,34,80438.08999998115,80445.28999998113,301,0.023255813953488372
35,event_guided,6612,6913,80603.68999998075,80963.68999997988,80783.68999998031,35,80781.28999998032,80786.08999998031,301,0.016611295681063124
36,event_guided,7035,7335,81111.28999997952,81470.08999997865,81290.68999997908,36,81287.68999997909,81293.68999997908,300,0.05333333333333334
37,event_guided,7063,7363,81144.88999997944,81503.68999997857,81324.289999979,37,81318.88999997902,81329.68999997899,300,0.05333333333333334
38,event_guided,7698,7999,81906.88999997759,82266.88999997672,82086.88999997715,38,82082.08999997716,82091.68999997714,301,0.053156146179401995
39,event_guided,7769,8070,81992.08999997738,82352.08999997651,82172.08999997695,39,82168.48999997696,82175.68999997694,301,0.053156146179401995
40,event_guided,8131,8431,82426.48999997633,82785.28999997546,82605.88999997589,40,82602.8899999759,82608.88999997589,300,0.02
41,event_guided,8352,8653,82691.68999997569,83051.68999997481,82871.68999997525,41,82868.08999997526,82875.28999997524,301,0.023255813953488372
42,event_guided,8620,8920,83013.2899999749,83372.08999997404,83192.68999997448,42,83189.68999997448,83195.68999997446,300,0.02
43,event_guided,8984,9186,83450.08999997385,83691.28999997326,83630.08999997341,43,83627.68999997342,83632.4899999734,202,0.024752475247524754
