window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,fixed,0,300,72669.29,73028.08999999912,72848.68999999957,,,,300,0.023333333333333334
2,fixed,100,400,72789.2899999997,73148.08999999883,72968.68999999927,,,,300,0.023333333333333334
3,fixed,200,500,72909.28999999941,73268.08999999854,73088.68999999898,,,,300,0.023333333333333334
4,fixed,300,600,73029.28999999912,73388.08999999825,73208.68999999869,,,,300,0.0
5,fixed,400,700,73149.28999999883,73508.08999999796,73328.6899999984,,,,300,0.0
6,fixed,500,800,73269.28999999854,73628.08999999767,73448.68999999811,,,,300,0.0
7,fixed,600,900,73389.28999999825,73748.08999999738,73568.68999999782,,,,300,0.0
8,fixed,700,1000,73509.28999999796,73868.08999999709,73688.68999999753,,,,300,0.11
9,fixed,800,1100,73629.28999999767,73988.0899999968,73808.68999999724,,,,300,0.17666666666666667
10,fixed,900,1200,73749.28999999737,74108.0899999965,73928.68999999695,,,,300,0.18
11,fixed,1000,1300,73869.28999999708,74228.08999999621,74048.68999999666,,,,300,0.12333333333333334
12,fixed,1100,1400,73989.28999999679,74348.08999999592,74168.68999999636,,,,300,0.08
13,fixed,1200,1500,74109.2899999965,74468.08999999563,74288.68999999607,,,,300,0.09666666666666666
14,fixed,1300,1600,74229.28999999621,74588.08999999534,74408.68999999578,,,,300,0.08
15,fixed,1400,1700,74349.28999999592,74708.08999999505,74528.68999999549,,,,300,0.056666666666666664
16,fixed,1500,1800,74469.28999999563,74828.08999999476,74648.6899999952,,,,300,0.08
17,fixed,1600,1900,74589.28999999534,74948.08999999447,74768.68999999491,,,,300,0.043333333333333335
18,fixed,1700,2000,74709.28999999505,75068.08999999418,74888.68999999462,,,,300,0.043333333333333335
19,fixed,1800,2100,74829.28999999475,75188.08999999388,75008.68999999433,,,,300,0.0
20,fixed,1900,2200,74949.28999999446,75308.0899999936,75128.68999999404,,,,300,0.03333333333333333
21,fixed,2000,2300,75069.28999999417,75428.0899999933,75248.68999999375,,,,300,0.08333333333333333
22,fixed,2100,2400,75189.28999999388,75548.08999999301,75368.68999999345,,,,300,0.13666666666666666
23,fixed,2200,2500,75309.28999999359,75668.08999999272,75488.68999999316,,,,300,0.10333333333333333
24,fixed,2300,2600,75429.2899999933,75788.08999999243,75608.68999999287,,,,300,0.1
25,fixed,2400,2700,75549.28999999301,75908.08999999214,75728.68999999258,,,,300,0.04666666666666667
26,fixed,2500,2800,75669.28999999272,76028.08999999185,75848.68999999229,,,,300,0.04666666666666667
27,fixed,2600,2900,75789.28999999243,76148.08999999156,75968.689999992,,,,300,0.0
28,fixed,2700,3000,75909.28999999214,76268.08999999127,76088.68999999171,,,,300,0.0
29,fixed,2800,3100,76029.28999999184,76388.08999999097,76208.68999999142,,,,300,0.016666666666666666
30,fixed,2900,3200,76149.28999999155,76508.08999999068,76328.68999999113,,,,300,0.016666666666666666
31,fixed,3000,3300,76269.28999999126,76628.08999999039,76448.68999999083,,,,300,0.016666666666666666
32,fixed,3100,3400,76389.28999999097,76748.0899999901,76568.68999999054,,,,300,0.04
33,fixed,3200,3500,76509.28999999068,76868.08999998981,76688.68999999025,,,,300,0.04
34,fixed,3300,3600,76629.28999999039,76988.08999998952,76808.68999998996,,,,300,0.06666666666666667
35,fixed,3400,3700,76749.2899999901,77108.08999998923,76928.68999998967,,,,300,0.06666666666666667
36,fixed,3500,3800,76869.2899999898,77228.08999998894,77048.68999998938,,,,300,0.06666666666666667
37,fixed,3600,3900,76989.28999998952,77348.08999998865,77168.68999998909,,,,300,0.04
38,fixed,3700,4000,77109.28999998923,77468.08999998835,77288.6899999888,,,,300,0.0
39,fixed,3800,4100,77229.28999998893,77588.08999998806,77408.6899999885,,,,300,0.0
40,fixed,3900,4200,77349.28999998864,77708.08999998777,77528.68999998822,,,,300,0.043333333333333335
41,fixed,4000,4300,77469.28999998835,77828.08999998748,77648.68999998792,,,,300,0.043333333333333335
42,fixed,4100,4400,77589.28999998806,77948.08999998719,77768.68999998763,,,,300,0.043333333333333335
43,fixed,4200,4500,77709.28999998777,78068.0899999869,77888.68999998734,,,,300,0.016666666666666666
44,fixed,4300,4600,77829.28999998748,78188.08999998661,78008.68999998705,,,,300,0.03333333333333333
45,fixed,4400,4700,77949.28999998719,78308.08999998632,78128.68999998676,,,,300,0.03333333333333333
