Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
Pressure_Clean_RQA_LAM,event_guided,fixed,74,74,0.872600527078383,0.8200198512385505,0.8785839920948615,0.831877240143369,0.06009384777862933,0.0919145624575367,0.0525806758398325,0.6771353370448425,0.34952520087655226,0.0002442693705237269,6.850285449314664e-05,0.01805660985392061,0.34952520087655226,0.6771353370448425
Pressure_Clean_RQA_DET,event_guided,fixed,74,74,0.7736514172076259,0.6968706830798407,0.776674616607683,0.7228783551592828,0.1051491973051727,0.14108018924451574,0.07678073412778519,0.617116229431047,0.32633308984660336,0.0006155662450200208,0.0002579204752176172,0.01805660985392061,0.32633308984660336,0.617116229431047
VMD_Mode4_RQA_RR,event_guided,fixed,74,74,0.04847197555416677,0.048501882902049535,0.0486408204341508,0.04865132043496681,0.00019255880106908269,0.0001753919219561998,-2.9907347882766888e-05,-0.16238506427423138,-0.3161066471877283,0.0005180833419036213,0.32492347382082887,0.01805660985392061,0.3161066471877283,0.16238506427423138
VMD_Mode3_PFD,event_guided,fixed,74,74,1.0043424051726075,1.004680755591051,1.0043884035569695,1.0044054938433753,0.0004285362367564029,0.0008219830792061364,-0.00033835041844354485,-0.5161898243651513,-0.2985756026296567,0.0016014030152799196,0.0021710712164438443,0.03523086633615823,0.2985756026296567,0.5161898243651513
VMD_Reconstructed_RQA_DET,event_guided,fixed,74,74,0.971015678918406,0.9610882287978203,0.9741849174445771,0.9661135717714207,0.014471515073058109,0.02318682858213157,0.009927450120585712,0.5136612226262849,0.2573046018991965,0.006936866396662251,0.0022244062542332577,0.12208884858125561,0.2573046018991965,0.5136612226262849
Pressure_Clean_HFD,event_guided,fixed,74,74,1.44603166930494,1.5148309236702677,1.4491112251094669,1.4970644643584063,0.09711538957648289,0.15024622802312568,-0.06879925436532774,-0.5438605888934962,-0.2425127830533236,0.010942652588368011,0.0012269293062321556,0.14061560568402495,0.2425127830533236,0.5438605888934962
Pressure_Clean_SampEn,event_guided,fixed,74,74,0.4805113549345187,0.608964136140878,0.48898216673843703,0.5763272449376258,0.2088526950014293,0.29485301086771715,-0.12845278120635928,-0.5027559134493212,-0.24178232286340395,0.011185332270320167,0.002698880092628775,0.14061560568402495,0.24178232286340395,0.5027559134493212
VMD_Reconstructed_RQA_L_mean,event_guided,fixed,74,74,6.403743955197885,5.873144092205391,6.23835264836276,5.462066252111162,1.4989548499152492,1.7550912808437942,0.530599862992494,0.3251113864314891,0.22717311906501095,0.017150995215133615,0.04990570210894613,0.15171592720563193,0.22717311906501095,0.3251113864314891
Pressure_Clean_RQA_V_mean,event_guided,fixed,74,74,4.578864489269497,4.1732432413197325,4.1822189005456085,3.692531617685171,1.4618960654156739,1.5415015306876343,0.40562124794976473,0.2700134304679412,0.22699050401753104,0.017240446273367262,0.10265957471011054,0.15171592720563193,0.22699050401753104,0.2700134304679412
Pressure_Clean_RQA_TT,event_guided,fixed,74,74,4.578864489269497,4.1732432413197325,4.1822189005456085,3.692531617685171,1.4618960654156739,1.5415015306876343,0.40562124794976473,0.2700134304679412,0.22699050401753104,0.017240446273367262,0.10265957471011054,0.15171592720563193,0.22699050401753104,0.2700134304679412
