window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,event_guided,193,493,70494.79999999944,70853.59999999857,70674.199999999,1,70669.99999999901,70678.39999999899,300,0.02666666666666667
2,event_guided,491,792,70852.39999999857,71212.3999999977,71032.39999999813,2,71028.79999999814,71035.99999999812,301,0.023255813953488372
3,event_guided,645,946,71037.19999999812,71397.19999999725,71217.19999999768,3,71214.79999999769,71219.59999999768,301,0.016611295681063124
4,event_guided,940,1241,71391.19999999726,71751.19999999639,71571.19999999682,4,71568.79999999683,71573.59999999682,301,0.016611295681063124
5,event_guided,1426,1727,71974.39999999585,72334.39999999497,72154.39999999541,5,72151.99999999542,72156.7999999954,301,0.016611295681063124
6,event_guided,2382,2682,73121.59999999306,73480.3999999922,73300.99999999264,6,73296.79999999264,73305.19999999262,300,0.02666666666666667
7,event_guided,4265,4566,75381.19999998758,75741.19999998671,75561.19999998715,7,75558.79999998715,75563.59999998714,301,0.046511627906976744
8,event_guided,4409,4710,75553.99999998717,75913.99999998629,75733.99999998673,8,75729.19999998674,75738.79999998672,301,0.046511627906976744
9,event_guided,4689,4990,75889.99999998635,76249.99999998548,76069.99999998591,9,76066.39999998592,76073.5999999859,301,0.023255813953488372
10,event_guided,4941,5242,76192.39999998562,76552.39999998474,76372.39999998518,10,76368.79999998519,76375.99999998517,301,0.04318936877076412
11,event_guided,5011,5311,76276.39999998541,76635.19999998454,76455.79999998497,11,76452.79999998499,76458.79999998497,300,0.043333333333333335
12,event_guided,5291,5591,76612.3999999846,76971.19999998373,76791.79999998416,12,76788.79999998417,76794.79999998416,300,0.05333333333333334
13,event_guided,5424,5724,76771.99999998421,77130.79999998334,76951.39999998378,13,76945.99999998379,76956.79999998376,300,0.05333333333333334
14,event_guided,5728,6028,77136.79999998333,77495.59999998246,77316.1999999829,14,77310.7999999829,77321.59999998288,300,0.07333333333333333
15,event_guided,5858,6158,77292.79999998295,77651.59999998208,77472.19999998252,15,77465.59999998253,77478.7999999825,300,0.10333333333333333
16,event_guided,5981,6282,77440.39999998259,77800.39999998172,77620.39999998215,16,77615.59999998217,77625.19999998214,301,0.06976744186046512
17,event_guided,6199,6500,77701.99999998196,78061.99999998108,77881.99999998152,17,77878.39999998153,77885.59999998151,301,0.053156146179401995
18,event_guided,6267,6568,77783.59999998176,78143.59999998088,77963.59999998132,18,77958.79999998133,77968.39999998131,301,0.11295681063122924
19,event_guided,6395,6695,77937.19999998139,78295.99999998051,78116.59999998094,19,78106.39999998097,78126.79999998093,300,0.16333333333333333
20,event_guided,6463,6764,78018.79999998119,78378.79999998031,78198.79999998075,20,78196.39999998076,78201.19999998074,301,0.14285714285714285
21,event_guided,6492,6792,78053.5999999811,78412.39999998023,78232.99999998068,21,78229.99999998068,78235.99999998066,300,0.14333333333333334
22,event_guided,6541,6841,78112.39999998096,78471.19999998009,78291.79999998052,22,78283.99999998054,78299.5999999805,300,0.15333333333333332
23,event_guided,6683,6983,78282.79999998055,78641.59999997968,78462.1999999801,23,78457.99999998012,78466.3999999801,300,0.11666666666666667
24,event_guided,6775,7075,78393.19999998028,78751.99999997941,78572.59999997984,24,78568.39999997985,78576.79999997983,300,0.11
25,event_guided,6795,7096,78417.19999998022,78777.19999997935,78597.19999997978,25,78594.79999997979,78599.59999997978,301,0.12624584717607973
26,event_guided,6841,7141,78472.39999998009,78831.19999997922,78651.79999997964,26,78647.59999997966,78655.99999997964,300,0.14
27,event_guided,6925,7226,78573.19999997984,78933.19999997897,78753.1999999794,27,78748.39999997942,78757.9999999794,301,0.15946843853820597
28,event_guided,6949,7250,78601.99999997977,78961.9999999789,78781.99999997934,28,78779.59999997934,78784.39999997933,301,0.16943521594684385
29,event_guided,6983,7284,78642.79999997967,79002.7999999788,78822.79999997924,29,78819.19999997925,78826.39999997923,301,0.18272425249169436
30,event_guided,7053,7353,78726.79999997947,79085.5999999786,78906.19999997903,30,78901.99999997905,78910.39999997902,300,0.22333333333333333
31,event_guided,7080,7380,78759.19999997939,79117.99999997852,78938.59999997896,31,78931.99999997897,78945.19999997894,300,0.19666666666666666
32,event_guided,7101,7401,78784.39999997933,79143.19999997846,78963.79999997889,32,78960.7999999789,78966.79999997889,300,0.18333333333333332
33,event_guided,7167,7468,78863.59999997914,79223.59999997827,79043.5999999787,33,79039.99999997871,79047.1999999787,301,0.18604651162790697
34,event_guided,7197,7497,78899.59999997905,79258.39999997818,79078.99999997861,34,79071.19999997863,79086.7999999786,300,0.21666666666666667
35,event_guided,7311,7612,79036.39999997872,79396.39999997785,79216.39999997828,35,79211.5999999783,79221.19999997827,301,0.19933554817275748
36,event_guided,7344,7645,79075.99999997862,79435.99999997775,79255.99999997819,36,79248.7999999782,79263.19999997817,301,0.18604651162790697
37,event_guided,7382,7683,79121.59999997851,79481.59999997764,79301.59999997808,37,79291.9999999781,79311.19999997805,301,0.20930232558139536
38,event_guided,7472,7773,79229.59999997825,79589.59999997738,79409.59999997781,38,79405.99999997782,79413.1999999778,301,0.25249169435215946
39,event_guided,7501,7801,79264.39999997817,79623.1999999773,79443.79999997772,39,79439.59999997774,79447.99999997772,300,0.30333333333333334
40,event_guided,7527,7828,79295.59999997809,79655.59999997722,79475.59999997765,40,79470.79999997767,79480.39999997764,301,0.38205980066445183
41,event_guided,7549,7849,79321.99999997803,79680.79999997716,79501.39999997758,41,79498.3999999776,79504.39999997758,300,0.4066666666666667
42,event_guided,7578,7879,79356.79999997794,79716.79999997707,79536.7999999775,42,79531.99999997752,79541.5999999775,301,0.4950166112956811
43,event_guided,7608,7908,79392.79999997785,79751.59999997698,79572.19999997743,43,79569.19999997743,79575.19999997741,300,0.49666666666666665
44,event_guided,7674,7974,79471.99999997766,79830.79999997679,79651.39999997723,44,79589.59999997738,79713.19999997708,300,0.44333333333333336
45,event_guided,7930,8231,79779.19999997692,80139.19999997604,79959.19999997648,45,79926.79999997656,79991.5999999764,301,0.27906976744186046
46,event_guided,7995,8295,79857.19999997673,80215.99999997586,80036.59999997629,46,80025.19999997632,80047.99999997627,300,0.28
