window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,fixed,0,300,70263.2,70621.99999999913,70442.59999999957,,,,300,0.0
2,fixed,100,400,70383.1999999997,70741.99999999884,70562.59999999928,,,,300,0.02666666666666667
3,fixed,200,500,70503.19999999942,70861.99999999854,70682.59999999899,,,,300,0.02666666666666667
4,fixed,300,600,70623.19999999912,70981.99999999825,70802.5999999987,,,,300,0.02666666666666667
5,fixed,400,700,70743.19999999883,71101.99999999796,70922.5999999984,,,,300,0.023333333333333334
6,fixed,500,800,70863.19999999854,71221.99999999767,71042.59999999811,,,,300,0.04
7,fixed,600,900,70983.19999999825,71341.99999999738,71162.59999999782,,,,300,0.04
8,fixed,700,1000,71103.19999999796,71461.99999999709,71282.59999999753,,,,300,0.016666666666666666
9,fixed,800,1100,71223.19999999767,71581.9999999968,71402.59999999724,,,,300,0.016666666666666666
10,fixed,900,1200,71343.19999999738,71701.99999999651,71522.59999999695,,,,300,0.016666666666666666
11,fixed,1000,1300,71463.19999999709,71821.99999999622,71642.59999999666,,,,300,0.016666666666666666
12,fixed,1100,1400,71583.1999999968,71941.99999999593,71762.59999999637,,,,300,0.0
13,fixed,1200,1500,71703.1999999965,72061.99999999563,71882.59999999608,,,,300,0.0
14,fixed,1300,1600,71823.19999999621,72181.99999999534,72002.59999999579,,,,300,0.016666666666666666
15,fixed,1400,1700,71943.19999999592,72301.99999999505,72122.5999999955,,,,300,0.016666666666666666
16,fixed,1500,1800,72063.19999999563,72421.99999999476,72242.5999999952,,,,300,0.016666666666666666
17,fixed,1600,1900,72183.19999999534,72541.99999999447,72362.59999999491,,,,300,0.0
18,fixed,1700,2000,72303.19999999505,72661.99999999418,72482.59999999462,,,,300,0.0
19,fixed,1800,2100,72423.19999999476,72781.99999999389,72602.59999999433,,,,300,0.0
20,fixed,1900,2200,72543.19999999447,72901.9999999936,72722.59999999404,,,,300,0.0
21,fixed,2000,2300,72663.19999999418,73021.9999999933,72842.59999999375,,,,300,0.0
22,fixed,2100,2400,72783.19999999389,73141.99999999302,72962.59999999346,,,,300,0.0
23,fixed,2200,2500,72903.1999999936,73261.99999999272,73082.59999999317,,,,300,0.0
24,fixed,2300,2600,73023.1999999933,73381.99999999243,73202.59999999288,,,,300,0.02666666666666667
25,fixed,2400,2700,73143.19999999301,73501.99999999214,73322.59999999258,,,,300,0.02666666666666667
