Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
Pressure_Clean_SampEn,event_guided,fixed,59,59,0.4374199340651534,0.7010851824076612,0.4201658619324775,0.7696784563740068,0.2584571919469665,0.3747579483548385,-0.26366524834250776,-0.8190818164282364,-0.4133869577707555,0.00010890277614643687,2.189851379683923e-05,0.004791722150443222,0.4133869577707555,0.8190818164282364
VMD_Mode4_RQA_RR,event_guided,fixed,59,59,0.04864498618341775,0.04861961982773352,0.048646500537659544,0.04865132043496681,0.00012162488726150973,0.00013847521047460489,2.5366355684224018e-05,0.19464269342351445,-0.391554151106004,1.5523737109368477e-05,0.2926623860119467,0.001366088865624426,0.391554151106004,0.19464269342351445
VMD_Reconstructed_SampEn,event_guided,fixed,59,59,0.29268780039634756,0.37264748764317296,0.31791935118292186,0.40041831312454257,0.11802849863227854,0.13869143721192972,-0.0799596872468254,-0.620925172080527,-0.38006320022981904,0.0003741481199899594,0.0010204675886476922,0.008391543596940273,0.38006320022981904,0.620925172080527
Pressure_Clean_HFD,event_guided,fixed,59,59,1.3701298422410995,1.4944946507113228,1.3729461051701604,1.5161903657038847,0.15764602858329196,0.20902810996313498,-0.12436480847022335,-0.6717760957887164,-0.377765010054582,0.0004060063310934845,0.0004079061159993266,0.008391543596940273,0.377765010054582,0.6717760957887164
VMD_Mode3_RQA_DET,event_guided,fixed,59,59,0.991319109034452,0.988569133880039,0.9922680412371132,0.9889357218124339,0.004088572487535779,0.004504091687338833,0.002749975154412998,0.6393280125093872,0.373168629704108,0.00047679224982615187,0.0007277570574228215,0.008391543596940273,0.373168629704108,0.6393280125093872
Pressure_Clean_RQA_LAM,event_guided,fixed,59,59,0.8863530997525685,0.8212109587739517,0.9019878520154608,0.8316400580551522,0.07172991160806062,0.11203880025206847,0.06514214097861681,0.6924947560329323,0.3453030738293594,0.0012290278045079847,0.0002868427295867474,0.015967451901598213,0.3453030738293594,0.6924947560329323
Pressure_Clean_RQA_RR,event_guided,fixed,59,59,0.048612592274243256,0.05016809743647979,0.04688870510989149,0.047601521285731814,0.014910190345290607,0.022813485562429212,-0.0015555051622365354,-0.08071599392625493,-0.3343866704969836,0.0017389681094737003,0.662042836266111,0.015967451901598213,0.3343866704969836,0.08071599392625493
Pressure_Clean_RQA_V_mean,event_guided,fixed,59,59,6.21154622537036,5.675081903235454,4.804411764705883,3.6556291390728477,5.466242450801209,8.489142232397844,0.5364643221349059,0.07514016557582068,0.3343866704969836,0.0017492940343406867,0.6840697899289405,0.015967451901598213,0.3343866704969836,0.07514016557582068
Pressure_Clean_RQA_TT,event_guided,fixed,59,59,6.21154622537036,5.675081903235454,4.804411764705883,3.6556291390728477,5.466242450801209,8.489142232397844,0.5364643221349059,0.07514016557582068,0.3343866704969836,0.0017492940343406867,0.6840697899289405,0.015967451901598213,0.3343866704969836,0.07514016557582068
Pressure_Clean_RQA_DET,event_guided,fixed,59,59,0.8004944313601988,0.6998360514043773,0.815019326339039,0.7112135176651304,0.12137881020678881,0.1811684956349195,0.1006583799558215,0.652781104298409,0.3332375754093651,0.0018144831706361603,0.0005947874979787543,0.015967451901598213,0.3332375754093651,0.652781104298409
VMD_Mode4_RQA_DET,event_guided,fixed,59,59,0.9750845111212056,0.9688723492192006,0.9767779390420898,0.9714562167392354,0.010272469290822924,0.014892893359644367,0.00621216190200502,0.4855905576939511,0.30163746049985635,0.004753628414451451,0.009647703542746171,0.038029027315611606,0.30163746049985635,0.4855905576939511
VMD_Reconstructed_RQA_V_mean,event_guided,fixed,59,59,7.763625724708575,6.756420451214442,7.197309417040358,5.98116169544741,2.849299820854058,3.3888796769018508,1.007205273494133,0.32171518002098615,0.2910083309393852,0.006460860414608877,0.08329919900152487,0.04245535977190544,0.2910083309393852,0.32171518002098615
VMD_Reconstructed_RQA_TT,event_guided,fixed,59,59,7.763625724708575,6.756420451214442,7.197309417040358,5.98116169544741,2.849299820854058,3.3888796769018508,1.007205273494133,0.32171518002098615,0.2910083309393852,0.006460860414608877,0.08329919900152487,0.04245535977190544,0.2910083309393852,0.32171518002098615
VMD_Mode3_PFD,event_guided,fixed,59,59,1.0055338029449856,1.0057503502186602,1.0055530837538815,1.0057820252707241,0.00048053140456013504,0.0005988251976600112,-0.00021654727367459436,-0.3988642009170221,-0.2869864981327205,0.00694252521238156,0.032424051454369204,0.04245535977190544,0.2869864981327205,0.3988642009170221
VMD_Reconstructed_RQA_L_mean,event_guided,fixed,59,59,8.02827128631276,6.6161130824682255,6.452898550724638,5.316239316239316,5.871318596179324,4.702125313846378,1.4121582038445348,0.26549589164347837,0.2869864981327205,0.0072367090520293375,0.15212185707564632,0.04245535977190544,0.2869864981327205,0.26549589164347837
Pressure_Clean_KFD,event_guided,fixed,59,59,1.8906868795231708,2.0526823096173983,1.859849748204415,2.05729944171663,0.30491359367700677,0.3799855028713126,-0.16199543009422745,-0.4702326944616461,-0.28181557023843723,0.008356638101435308,0.012007154465791207,0.045961509557894194,0.28181557023843723,0.4702326944616461
Pressure_Clean_PermEn,event_guided,fixed,59,59,0.9535916400533538,0.9683104835019637,0.985804059025886,0.9915472696643479,0.08090503023556737,0.06900475151466594,-0.014718843448609853,-0.19575353675158372,-0.27721918988796324,0.0094796962065751,0.28994817149004937,0.047465281710115,0.27721918988796324,0.19575353675158372
VMD_Mode3_RQA_V_mean,event_guided,fixed,59,59,6.663066677686418,5.76103795379946,5.394970414201183,4.766944114149822,4.045033068958716,3.9453070541493562,0.902028723886958,0.225762223703406,0.27434645216891695,0.01024818582377483,0.22260729440621788,0.047465281710115,0.27434645216891695,0.225762223703406
VMD_Mode3_RQA_TT,event_guided,fixed,59,59,6.663066677686418,5.76103795379946,5.394970414201183,4.766944114149822,4.045033068958716,3.9453070541493562,0.902028723886958,0.225762223703406,0.27434645216891695,0.01024818582377483,0.22260729440621788,0.047465281710115,0.27434645216891695,0.225762223703406
Pressure_Clean_PS_StateSpread,event_guided,fixed,59,59,22917030566.057247,11547416447.356647,2.763210474254572,2.2604023185947955,176029051862.2648,88697388723.86792,11369614118.7006,0.08157290095534138,0.267451881643206,0.012323132658598362,0.6588432908263286,0.054221783697832794,0.267451881643206,0.08157290095534138
VMD_Reconstructed_RQA_RR,event_guided,fixed,59,59,0.04693399287882465,0.047089478381281226,0.04723037873886428,0.047601521285731814,0.0010508756162000512,0.0014682121288512916,-0.00015548550245657322,-0.12178589835351951,-0.2634300488365412,0.013402599951892313,0.5097609792748059,0.05616327598888207,0.2634300488365412,0.12178589835351951
VMD_Mode4_ApproxLLE,event_guided,fixed,59,59,0.08990824692209959,0.08252828230225827,0.0900033220805571,0.08522740493857851,0.012103087431858454,0.015173594692320361,0.00737996461984132,0.5377227138870492,0.25940821602987646,0.015207402469161472,0.004235841305901244,0.05763336930843148,0.25940821602987646,0.5377227138870492
VMD_Reconstructed_HFD,event_guided,fixed,59,59,1.1702185280916875,1.1903125651634703,1.1713210713936784,1.1910861295222344,0.041046407862083654,0.05147632518602876,-0.02009403707178281,-0.4316251071037787,-0.25940821602987646,0.015207402469161472,0.02084782773895503,0.05763336930843148,0.25940821602987646,0.4316251071037787
Pressure_Clean_PS_Eig2,event_guided,fixed,59,59,1.2679043790720974e+22,1.3696871372932647e+21,2.6918641363202034,1.496977151267205,9.73895833001363e+22,1.0520766530530484e+22,1.130935665342771e+22,0.16327547692943456,0.25768457339844875,0.01589772805631725,0.3787589660115104,0.05763336930843148,0.25768457339844875,0.16327547692943456
VMD_Reconstructed_PS_StateSpread,event_guided,fixed,59,59,2.8729677845995516,2.631004730334482,2.644532425464355,1.867095557292379,1.7970736605249706,3.51627372900498,0.24196305426506948,0.08665429623287339,0.25653547831083023,0.016373116280804397,0.6390748763576933,0.05763336930843148,0.25653547831083023,0.08665429623287339
VMD_Reconstructed_PS_Eig2,event_guided,fixed,59,59,4.427446371711779,3.2623729114582454,2.2440617867956174,1.1777248406587884,11.302642427275147,10.239126053824428,1.165073460253534,0.10803720041358063,0.25366274059178395,0.017616616427917512,0.5584945940388031,0.05962547098679773,0.25366274059178395,0.10803720041358063
Pressure_Clean_ApproxLLE,event_guided,fixed,59,59,0.024720109479789615,0.034283147418477856,0.024452616557845697,0.03422086853178476,0.02299930301442392,0.01890789182499399,-0.009563037938688242,-0.4542315633550392,-0.24446997989083596,0.02216881801055262,0.015137292173737084,0.0716704795086636,0.24446997989083596,0.4542315633550392
Pressure_Clean_RQA_L_mean,event_guided,fixed,59,59,5.728453014414536,5.44978513299922,3.8121827411167515,3.3105263157894735,6.788845501698884,9.13838255137902,0.2786678814153163,0.034618001713656234,0.24332088480321748,0.02280424348002933,0.8512138112437274,0.0716704795086636,0.24332088480321748,0.034618001713656234
Pressure_Clean_PS_Eig1,event_guided,fixed,59,59,5.793575518354455e+22,8.891384330734071e+21,4.884263971403507,2.8470319270393176,4.450129795776399e+23,6.829601894468359e+22,4.904437085281048e+22,0.15405518824491504,0.2289571962079862,0.03218207830509612,0.40602267909532763,0.09765596175339511,0.2289571962079862,0.15405518824491504
Pressure_Clean_PFD,event_guided,fixed,59,59,1.0170985411376983,1.0189575912597943,1.020271822212879,1.0222205200305903,0.006896424093091997,0.007022440878361094,-0.0018590501220960842,-0.267115736583156,-0.22120080436656134,0.03846164089691841,0.14953253094872898,0.11282081329762735,0.22120080436656134,0.267115736583156
VMD_Mode3_SampEn,event_guided,fixed,59,59,0.4373241208505989,0.47625887127604144,0.47614033713398796,0.5019253001288297,0.12472659365927084,0.12431226320360868,-0.03893475042544253,-0.3126796920860906,-0.20884803217466244,0.05072931842237136,0.09213480743640695,0.14400580713447356,0.20884803217466244,0.3126796920860906
VMD_Reconstructed_PS_StepStd,event_guided,fixed,59,59,0.3681772272205679,0.2836374894567226,0.28117511555410496,0.23643642401312634,0.3595632315217541,0.25261119822652245,0.08453973776384527,0.27207388286000955,0.1967825337546682,0.06566042299802481,0.1424984888831889,0.18056616324456823,0.1967825337546682,0.27207388286000955
VMD_Mode4_RQA_L_mean,event_guided,fixed,59,59,8.176412346201605,8.080485848899283,7.666666666666667,7.109540636042403,2.7941502887686895,3.7125797533710156,0.09592649730232239,0.02919590827737373,0.19362252226371732,0.07011882421580903,0.8743010604882359,0.18160245862559554,0.19362252226371732,0.02919590827737373
VMD_Reconstructed_PS_EigRatio12,event_guided,fixed,59,59,2.0230333375241205,2.512915457059935,1.5281430774911489,1.8780302947044418,1.23956664868539,2.1776372410459772,-0.4898821195358143,-0.27648664608554674,-0.1933352484918127,0.07053785051270177,0.13659684499923505,0.18160245862559554,0.1933352484918127,0.27648664608554674
Pressure_Clean_PS_LogVolume,event_guided,fixed,59,59,5.830504442055966,4.604550582557512,3.1165199058589286,1.597389133203993,21.513911992010385,20.64352232695564,1.2259538594984543,0.05814835141340875,0.1921861534041942,0.0722282505897255,0.7527027880029022,0.18160245862559554,0.1921861534041942,0.05814835141340875
VMD_Reconstructed_PS_LogVolume,event_guided,fixed,59,59,2.232146883683458,1.0953912382412927,2.4988866340109572,0.5805608554506211,3.92397895981712,2.9622989334873684,1.1367556454421655,0.3269779042673182,0.18931341568514795,0.07659972106268999,0.07856089548023827,0.18724376259768663,0.18931341568514795,0.3269779042673182
VMD_Reconstructed_RQA_LAM,event_guided,fixed,59,59,0.9754281953190896,0.9729360130670415,0.9793814432989688,0.9734536082474224,0.014241422142344496,0.012044226557689839,0.0024921822520481696,0.1889640249860774,0.1878770468256248,0.07886229513269372,0.30692676458164114,0.18756437761289316,0.1878770468256248,0.1889640249860774
VMD_Reconstructed_RQA_DET,event_guided,fixed,59,59,0.9604605896316334,0.9552672279623793,0.9646996838777658,0.9597938144329895,0.026283862335027667,0.02361104264020359,0.005193361669254104,0.20787397591823675,0.18586613042229244,0.08212547735221747,0.26123499326146893,0.18963033761189457,0.18586613042229244,0.20787397591823675
VMD_Mode3_PS_StepStd,event_guided,fixed,59,59,0.33357922824062686,0.2927287532730543,0.2827511700109639,0.24031993227929396,0.25327567067128826,0.1983369757022585,0.04085047496757255,0.17958541120524787,0.18471703533467396,0.08404071780527146,0.3315087690991869,0.18963033761189457,0.18471703533467396,0.17958541120524787
