window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,fixed,0,300,63699.14,64057.93999999913,63878.539999999564,,,,300,0.056666666666666664
2,fixed,50,350,63759.139999999854,64117.939999998984,63938.53999999942,,,,300,0.056666666666666664
3,fixed,100,400,63819.13999999971,64177.93999999884,63998.53999999927,,,,300,0.056666666666666664
4,fixed,150,450,63879.13999999956,64237.93999999869,64058.53999999913,,,,300,0.016666666666666666
5,fixed,200,500,63939.13999999942,64297.93999999855,64118.53999999898,,,,300,0.016666666666666666
6,fixed,250,550,63999.13999999927,64357.9399999984,64178.53999999884,,,,300,0.016666666666666666
7,fixed,300,600,64059.139999999126,64417.939999998256,64238.53999999869,,,,300,0.016666666666666666
8,fixed,350,650,64119.13999999898,64477.93999999811,64298.539999998546,,,,300,0.016666666666666666
9,fixed,400,700,64179.139999998835,64537.939999997965,64358.5399999984,,,,300,0.016666666666666666
10,fixed,450,750,64239.13999999869,64597.93999999782,64418.539999998255,,,,300,0.04
11,fixed,500,800,64299.139999998544,64657.939999997674,64478.53999999811,,,,300,0.04666666666666667
12,fixed,550,850,64359.1399999984,64717.93999999753,64538.53999999796,,,,300,0.07
13,fixed,600,900,64419.13999999825,64777.93999999738,64598.53999999782,,,,300,0.07333333333333333
14,fixed,650,950,64479.13999999811,64837.93999999724,64658.53999999767,,,,300,0.07333333333333333
15,fixed,700,1000,64539.13999999796,64897.93999999709,64718.53999999753,,,,300,0.07333333333333333
16,fixed,750,1050,64599.13999999782,64957.93999999695,64778.53999999738,,,,300,0.05
17,fixed,800,1100,64659.13999999767,65017.9399999968,64838.539999997236,,,,300,0.043333333333333335
18,fixed,850,1150,64719.139999997526,65077.939999996655,64898.53999999709,,,,300,0.02
19,fixed,900,1200,64779.13999999738,65137.93999999651,64958.539999996945,,,,300,0.0
20,fixed,950,1250,64839.139999997235,65197.939999996364,65018.5399999968,,,,300,0.07333333333333333
21,fixed,1000,1300,64899.13999999709,65257.93999999622,65078.539999996654,,,,300,0.07666666666666666
22,fixed,1050,1350,64959.13999999694,65317.93999999607,65138.53999999651,,,,300,0.07666666666666666
23,fixed,1100,1400,65019.1399999968,65377.93999999593,65198.53999999636,,,,300,0.07666666666666666
24,fixed,1150,1450,65079.13999999665,65437.93999999578,65258.53999999622,,,,300,0.1
25,fixed,1200,1500,65139.13999999651,65497.93999999564,65318.53999999607,,,,300,0.14666666666666667
26,fixed,1250,1550,65199.13999999636,65557.93999999549,65378.539999995926,,,,300,0.07333333333333333
27,fixed,1300,1600,65259.139999996216,65617.93999999535,65438.53999999578,,,,300,0.10666666666666667
28,fixed,1350,1650,65319.13999999607,65677.9399999952,65498.539999995635,,,,300,0.16666666666666666
29,fixed,1400,1700,65379.139999995925,65737.93999999505,65558.5399999955,,,,300,0.16666666666666666
30,fixed,1450,1750,65439.13999999578,65797.93999999491,65618.53999999535,,,,300,0.18333333333333332
31,fixed,1500,1800,65499.139999995634,65857.93999999476,65678.5399999952,,,,300,0.18333333333333332
32,fixed,1550,1850,65559.13999999549,65917.93999999462,65738.53999999506,,,,300,0.21
33,fixed,1600,1900,65619.13999999534,65977.93999999447,65798.53999999491,,,,300,0.23333333333333334
34,fixed,1650,1950,65679.1399999952,66037.93999999433,65858.53999999477,,,,300,0.20333333333333334
35,fixed,1700,2000,65739.13999999505,66097.93999999418,65918.53999999462,,,,300,0.25333333333333335
