Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Mode4_RQA_DET,event_guided,fixed,51,51,0.9808957490470861,0.9701339162652828,0.9831811629024505,0.9723320158102765,0.008028127950396542,0.014409610444416117,0.010761832781803315,0.9226707934712373,0.4936562860438293,1.7581640705139645e-05,1.2789655409964208e-05,0.00011060993577073596,0.4936562860438293,0.9226707934712373
VMD_Mode3_RQA_DET,event_guided,fixed,51,51,0.9910369250060285,0.9849318492714434,0.9917525773195874,0.988395560040363,0.0043849651508578716,0.009087636738966287,0.006105075734585075,0.8556660610814224,0.3775470972702807,0.0010265273690653856,4.890589385945464e-05,0.002656894366992763,0.3775470972702807,0.8556660610814224
VMD_Mode4_HFD,event_guided,fixed,51,51,1.2487169668627272,1.2619608489759355,1.2527042392565422,1.2630301079962634,0.018760904012113527,0.0200180854224843,-0.013243882113208372,-0.6826855533853848,-0.3613994617454825,0.0016766341934798857,0.000830652561291557,0.004079792145083919,0.3613994617454825,0.6826855533853848
VMD_Mode3_HFD,event_guided,fixed,51,51,1.1210008707079357,1.1328251095060735,1.1200509770717997,1.1270938666873878,0.013223773112765165,0.020049702610585658,-0.011824238798137765,-0.696231145844926,-0.3606305267204921,0.0017153671519102845,0.0007002595123595404,0.004079792145083919,0.3606305267204921,0.696231145844926
VMD_Mode3_SampEn,event_guided,fixed,51,51,0.33461599998790975,0.39707903813639384,0.35155212681925946,0.4351213176895073,0.1332110361941622,0.16188476535528068,-0.062463038148484085,-0.4213562937839627,-0.2568242983467897,0.025613362967260845,0.03590863072559949,0.04599950900242764,0.2568242983467897,0.4213562937839627
VMD_Mode4_RQA_LAM,event_guided,fixed,51,51,0.9365166063559138,0.9088700296307721,0.9461797212878422,0.9223512336719882,0.04149695459616381,0.06358922202519361,0.027646576725141703,0.5149139039488366,0.2510572856593618,0.02912126216136885,0.010964656172937546,0.04928213596539344,0.2510572856593618,0.5149139039488366
VMD_Mode4_ApproxLLE,event_guided,fixed,51,51,0.0835970007334123,0.07706791607360632,0.08378251938973537,0.07866885875152549,0.01577091076667221,0.01622354520309099,0.006529084659805978,0.40809766421660343,0.2029988465974625,0.07781057420363612,0.041920679763627074,0.12680241722074034,0.2029988465974625,0.40809766421660343
VMD_Mode4_SampEn,event_guided,fixed,51,51,0.3927570129540413,0.4391952532102465,0.40789412167936356,0.49310954970850757,0.1592383231398628,0.1906273358710954,-0.04643824025620519,-0.2644012894276081,-0.19915417147251058,0.08361781604556066,0.18495091060112517,0.13139942521445247,0.19915417147251058,0.2644012894276081
VMD_Mode3_ApproxLLE,event_guided,fixed,51,51,0.05740343369469716,0.053829222259028926,0.05798735236378121,0.05344684892869059,0.017752444279732323,0.014929771322814242,0.0035742114356682314,0.2179139282404615,0.14071510957324107,0.22192607617116267,0.2738722433881477,0.33100838479766637,0.14071510957324107,0.2179139282404615
VMD_Mode4_PS_LogVolume,event_guided,fixed,51,51,0.20773369524988256,0.12462639081917334,0.29319105652651656,-0.46664370459888094,1.965683084059647,3.0948603435181563,0.08310730443070921,0.03205686949440758,0.11303344867358708,0.3268470675938856,0.8717865025760719,0.4793756991376989,0.11303344867358708,0.03205686949440758
VMD_Mode4_PermEn,event_guided,fixed,51,51,0.965780707523902,0.9636295353199041,0.9717963413325197,0.9574684667031832,0.018762635538209144,0.017582632773125,0.002151172203997853,0.11831192637510471,0.06343713956170703,0.5831392064175762,0.5515658355004148,0.7635933237236167,0.06343713956170703,0.11831192637510471
VMD_Mode3_PermEn,event_guided,fixed,51,51,0.9654880691923843,0.9687578220773507,0.9730446634817592,0.9714793441093784,0.022511374989962585,0.01899576723742121,-0.003269752884966448,-0.1569892314108394,-0.051134179161860825,0.6586909796144708,0.4298493280023351,0.813967478987096,0.051134179161860825,0.1569892314108394
VMD_Mode3_PS_LogVolume,event_guided,fixed,51,51,0.5163181984376949,0.8172708270337969,-0.13407355009240596,0.26542075455844905,2.13632093701424,2.769075719359752,-0.30095262859610206,-0.12169441872086872,-0.029988465974625143,0.7966616309818586,0.540352761178381,0.8549539454439458,0.029988465974625143,0.12169441872086872
VMD_Mode3_RQA_LAM,event_guided,fixed,51,51,0.974741295099679,0.9747201586274648,0.9785570131180623,0.9757731958762884,0.013823098135274707,0.014614142276368907,2.113647221424486e-05,0.0014859598886055691,-0.0019223375624759708,0.9893201522340722,0.9940279415669425,0.9893201522340722,0.0019223375624759708,0.0014859598886055691
