window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,fixed,0,300,1224642.0,1225000.799999986,1224821.399999993,,,,300,0.05333333333333334
2,fixed,100,400,1224761.9999999953,1225120.7999999814,1224941.3999999883,,,,300,0.07333333333333333
3,fixed,200,500,1224881.9999999907,1225240.7999999768,1225061.3999999836,,,,300,0.03333333333333333
4,fixed,300,600,1225001.999999986,1225360.799999972,1225181.399999979,,,,300,0.056666666666666664
5,fixed,400,700,1225121.9999999814,1225480.7999999675,1225301.3999999743,,,,300,0.06666666666666667
6,fixed,500,800,1225241.9999999767,1225600.7999999628,1225421.3999999696,,,,300,0.1
7,fixed,600,900,1225361.999999972,1225720.7999999581,1225541.399999965,,,,300,0.07666666666666666
8,fixed,700,1000,1225481.9999999674,1225840.7999999535,1225661.3999999603,,,,300,0.11333333333333333
9,fixed,800,1100,1225601.9999999627,1225960.7999999488,1225781.3999999557,,,,300,0.11333333333333333
10,fixed,900,1200,1225721.999999958,1226080.7999999442,1225901.399999951,,,,300,0.1
11,fixed,1000,1300,1225841.9999999534,1226200.7999999395,1226021.3999999464,,,,300,0.03333333333333333
12,fixed,1100,1400,1225961.9999999488,1226320.7999999349,1226141.3999999417,,,,300,0.0
13,fixed,1200,1500,1226081.9999999441,1226440.7999999302,1226261.399999937,,,,300,0.0
14,fixed,1300,1600,1226201.9999999395,1226560.7999999255,1226381.3999999324,,,,300,0.0
15,fixed,1400,1700,1226321.9999999348,1226680.799999921,1226501.3999999277,,,,300,0.0
16,fixed,1500,1800,1226441.9999999302,1226800.7999999162,1226621.399999923,,,,300,0.02
17,fixed,1600,1900,1226561.9999999255,1226920.7999999116,1226741.3999999184,,,,300,0.02
18,fixed,1700,2000,1226681.9999999208,1227040.799999907,1226861.3999999138,,,,300,0.02
19,fixed,1800,2100,1226801.9999999162,1227160.7999999023,1226981.399999909,,,,300,0.0
20,fixed,1900,2200,1226921.9999999115,1227280.7999998976,1227101.3999999044,,,,300,0.0
21,fixed,2000,2300,1227041.9999999069,1227400.799999893,1227221.3999998998,,,,300,0.0
22,fixed,2100,2400,1227161.9999999022,1227520.7999998883,1227341.3999998951,,,,300,0.0
23,fixed,2200,2500,1227281.9999998976,1227640.7999998836,1227461.3999998905,,,,300,0.0
24,fixed,2300,2600,1227401.999999893,1227760.799999879,1227581.3999998858,,,,300,0.043333333333333335
25,fixed,2400,2700,1227521.9999998882,1227880.7999998743,1227701.3999998812,,,,300,0.043333333333333335
26,fixed,2500,2800,1227641.9999998836,1228000.7999998697,1227821.3999998765,,,,300,0.043333333333333335
27,fixed,2600,2900,1227761.999999879,1228120.799999865,1227941.3999998719,,,,300,0.0
28,fixed,2700,3000,1227881.9999998743,1228240.7999998603,1228061.3999998672,,,,300,0.0
29,fixed,2800,3100,1228001.9999998696,1228360.7999998557,1228181.3999998625,,,,300,0.0
30,fixed,2900,3200,1228121.999999865,1228480.799999851,1228301.3999998579,,,,300,0.0
31,fixed,3000,3300,1228241.9999998603,1228600.7999998464,1228421.3999998532,,,,300,0.02
32,fixed,3100,3400,1228361.9999998556,1228720.7999998417,1228541.3999998486,,,,300,0.02
33,fixed,3200,3500,1228481.999999851,1228840.799999837,1228661.399999844,,,,300,0.06
34,fixed,3300,3600,1228601.9999998463,1228960.7999998324,1228781.3999998393,,,,300,0.07333333333333333
35,fixed,3400,3700,1228721.9999998417,1229080.7999998278,1228901.3999998346,,,,300,0.07333333333333333
36,fixed,3500,3800,1228841.999999837,1229200.799999823,1229021.39999983,,,,300,0.06333333333333334
37,fixed,3600,3900,1228961.9999998324,1229320.7999998184,1229141.3999998253,,,,300,0.06
38,fixed,3700,4000,1229081.9999998277,1229440.7999998138,1229261.3999998206,,,,300,0.06
39,fixed,3800,4100,1229201.999999823,1229560.7999998091,1229381.399999816,,,,300,0.05333333333333334
40,fixed,3900,4200,1229321.9999998184,1229680.7999998045,1229501.3999998113,,,,300,0.023333333333333334
41,fixed,4000,4300,1229441.9999998137,1229800.7999997998,1229621.3999998067,,,,300,0.023333333333333334
42,fixed,4100,4400,1229561.999999809,1229920.7999997952,1229741.399999802,,,,300,0.0
43,fixed,4200,4500,1229681.9999998044,1230040.7999997905,1229861.3999997973,,,,300,0.03
44,fixed,4300,4600,1229801.9999997998,1230160.7999997858,1229981.3999997927,,,,300,0.03
45,fixed,4400,4700,1229921.999999795,1230280.7999997812,1230101.399999788,,,,300,0.03
46,fixed,4500,4800,1230041.9999997905,1230400.7999997765,1230221.3999997834,,,,300,0.0
47,fixed,4600,4900,1230161.9999997858,1230520.7999997719,1230341.3999997787,,,,300,0.03666666666666667
48,fixed,4700,5000,1230281.9999997811,1230640.7999997672,1230461.399999774,,,,300,0.06333333333333334
49,fixed,4800,5100,1230401.9999997765,1230760.7999997626,1230581.3999997694,,,,300,0.06333333333333334
50,fixed,4900,5200,1230521.9999997718,1230880.799999758,1230701.3999997647,,,,300,0.07
51,fixed,5000,5300,1230641.9999997672,1231000.7999997532,1230821.39999976,,,,300,0.043333333333333335
52,fixed,5100,5400,1230761.9999997625,1231120.7999997486,1230941.3999997554,,,,300,0.043333333333333335
53,fixed,5200,5500,1230881.9999997579,1231240.799999744,1231061.3999997508,,,,300,0.0
54,fixed,5300,5600,1231001.9999997532,1231360.7999997393,1231181.3999997461,,,,300,0.03666666666666667
55,fixed,5400,5700,1231121.9999997485,1231480.7999997346,1231301.3999997415,,,,300,0.06333333333333334
56,fixed,5500,5800,1231241.999999744,1231600.79999973,1231421.3999997368,,,,300,0.1
57,fixed,5600,5900,1231361.9999997392,1231720.7999997253,1231541.3999997322,,,,300,0.06333333333333334
58,fixed,5700,6000,1231481.9999997346,1231840.7999997206,1231661.3999997275,,,,300,0.03666666666666667
59,fixed,5800,6100,1231601.99999973,1231960.799999716,1231781.3999997228,,,,300,0.03666666666666667
60,fixed,5900,6200,1231721.9999997253,1232080.7999997113,1231901.3999997182,,,,300,0.06
61,fixed,6000,6300,1231841.9999997206,1232200.7999997067,1232021.3999997135,,,,300,0.11666666666666667
62,fixed,6100,6400,1231961.999999716,1232320.799999702,1232141.3999997089,,,,300,0.10666666666666667
63,fixed,6200,6500,1232081.9999997113,1232440.7999996974,1232261.3999997042,,,,300,0.08333333333333333
64,fixed,6300,6600,1232201.9999997066,1232560.7999996927,1232381.3999996996,,,,300,0.02666666666666667
65,fixed,6400,6700,1232321.999999702,1232680.799999688,1232501.399999695,,,,300,0.03333333333333333
66,fixed,6500,6800,1232441.9999996973,1232800.7999996834,1232621.3999996902,,,,300,0.06
67,fixed,6600,6900,1232561.9999996927,1232920.7999996787,1232741.3999996856,,,,300,0.06
68,fixed,6700,7000,1232681.999999688,1233040.799999674,1232861.399999681,,,,300,0.02666666666666667
69,fixed,6800,7100,1232801.9999996834,1233160.7999996694,1232981.3999996763,,,,300,0.0
70,fixed,6900,7200,1232921.9999996787,1233280.7999996648,1233101.3999996716,,,,300,0.02666666666666667
71,fixed,7000,7300,1233041.999999674,1233400.79999966,1233221.399999667,,,,300,0.02666666666666667
72,fixed,7100,7400,1233161.9999996694,1233520.7999996555,1233341.3999996623,,,,300,0.04666666666666667
73,fixed,7200,7500,1233281.9999996647,1233640.7999996508,1233461.3999996576,,,,300,0.02
74,fixed,7300,7600,1233401.99999966,1233760.7999996461,1233581.399999653,,,,300,0.02
75,fixed,7400,7700,1233521.9999996554,1233880.7999996415,1233701.3999996483,,,,300,0.0
76,fixed,7500,7800,1233641.9999996508,1234000.7999996368,1233821.3999996437,,,,300,0.02666666666666667
77,fixed,7600,7900,1233761.999999646,1234120.7999996322,1233941.399999639,,,,300,0.02666666666666667
78,fixed,7700,8000,1233881.9999996414,1234240.7999996275,1234061.3999996344,,,,300,0.08333333333333333
79,fixed,7800,8100,1234001.9999996368,1234360.7999996229,1234181.3999996297,,,,300,0.056666666666666664
80,fixed,7900,8200,1234121.9999996321,1234480.7999996182,1234301.399999625,,,,300,0.13666666666666666
81,fixed,8000,8300,1234241.9999996275,1234600.7999996135,1234421.3999996204,,,,300,0.15666666666666668
82,fixed,8100,8400,1234361.9999996228,1234720.799999609,1234541.3999996157,,,,300,0.18666666666666668
83,fixed,8200,8500,1234481.9999996182,1234840.7999996042,1234661.399999611,,,,300,0.16
84,fixed,8300,8600,1234601.9999996135,1234960.7999995996,1234781.3999996064,,,,300,0.13333333333333333
85,fixed,8400,8700,1234721.9999996088,1235080.799999595,1234901.3999996018,,,,300,0.13666666666666666
86,fixed,8500,8800,1234841.9999996042,1235200.7999995903,1235021.399999597,,,,300,0.08333333333333333
87,fixed,8600,8900,1234961.9999995995,1235320.7999995856,1235141.3999995925,,,,300,0.03333333333333333
88,fixed,8700,9000,1235081.9999995949,1235440.799999581,1235261.3999995878,,,,300,0.0
89,fixed,8800,9100,1235201.9999995902,1235560.7999995763,1235381.3999995831,,,,300,0.0
90,fixed,8900,9200,1235321.9999995856,1235680.7999995716,1235501.3999995785,,,,300,0.0
91,fixed,9000,9300,1235441.999999581,1235800.799999567,1235621.3999995738,,,,300,0.10666666666666667
92,fixed,9100,9400,1235561.9999995762,1235920.7999995623,1235741.3999995692,,,,300,0.13333333333333333
93,fixed,9200,9500,1235681.9999995716,1236040.7999995577,1235861.3999995645,,,,300,0.22333333333333333
94,fixed,9300,9600,1235801.999999567,1236160.799999553,1235981.3999995599,,,,300,0.11666666666666667
95,fixed,9400,9700,1235921.9999995623,1236280.7999995484,1236101.3999995552,,,,300,0.10666666666666667
96,fixed,9500,9800,1236041.9999995576,1236400.7999995437,1236221.3999995505,,,,300,0.043333333333333335
97,fixed,9600,9900,1236161.999999553,1236520.799999539,1236341.399999546,,,,300,0.07
98,fixed,9700,10000,1236281.9999995483,1236640.7999995344,1236461.3999995412,,,,300,0.07333333333333333
99,fixed,9800,10100,1236401.9999995437,1236760.7999995297,1236581.3999995366,,,,300,0.07333333333333333
100,fixed,9900,10200,1236521.999999539,1236880.799999525,1236701.399999532,,,,300,0.04666666666666667
101,fixed,10000,10300,1236641.9999995343,1237000.7999995204,1236821.3999995273,,,,300,0.02666666666666667
102,fixed,10100,10400,1236761.9999995297,1237120.7999995158,1236941.3999995226,,,,300,0.0
103,fixed,10200,10500,1236881.999999525,1237240.799999511,1237061.399999518,,,,300,0.0
104,fixed,10300,10600,1237001.9999995204,1237360.7999995064,1237181.3999995133,,,,300,0.0
105,fixed,10400,10700,1237121.9999995157,1237480.7999995018,1237301.3999995086,,,,300,0.03333333333333333
106,fixed,10500,10800,1237241.999999511,1237600.7999994971,1237421.399999504,,,,300,0.06666666666666667
