window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,event_guided,60,361,1831664.9999999972,1832024.9999999832,1831844.9999999902,1,1831841.3999999904,1831848.59999999,301,0.11627906976744186
2,event_guided,97,397,1831709.3999999955,1832068.1999999816,1831888.7999999886,2,1831884.5999999887,1831892.9999999884,300,0.17
3,event_guided,132,433,1831751.3999999939,1832111.3999999799,1831931.3999999869,3,1831926.599999987,1831936.1999999867,301,0.16943521594684385
4,event_guided,182,483,1831811.3999999915,1832171.3999999776,1831991.3999999845,4,1831985.3999999848,1831997.3999999843,301,0.19933554817275748
5,event_guided,220,521,1831856.9999999898,1832216.9999999758,1832036.9999999828,5,1832032.199999983,1832041.7999999826,301,0.20930232558139536
6,event_guided,238,539,1831878.599999989,1832238.599999975,1832058.599999982,6,1832054.999999982,1832062.1999999818,301,0.20930232558139536
7,event_guided,319,620,1831975.7999999851,1832335.7999999712,1832155.7999999782,7,1832150.9999999783,1832160.599999978,301,0.19933554817275748
8,event_guided,365,665,1832030.999999983,1832389.799999969,1832210.3999999762,8,1832204.9999999763,1832215.7999999758,300,0.18333333333333332
9,event_guided,408,708,1832082.599999981,1832441.399999967,1832261.999999974,9,1832258.9999999742,1832264.999999974,300,0.16333333333333333
10,event_guided,446,746,1832128.1999999792,1832486.9999999653,1832307.5999999722,10,1832303.3999999724,1832311.799999972,300,0.20333333333333334
11,event_guided,500,800,1832192.9999999767,1832551.7999999628,1832372.3999999696,11,1832369.3999999699,1832375.3999999696,300,0.2
12,event_guided,543,843,1832244.5999999747,1832603.3999999608,1832423.9999999679,12,1832418.599999968,1832429.3999999675,300,0.20333333333333334
13,event_guided,583,883,1832292.5999999729,1832651.399999959,1832471.999999966,13,1832465.3999999661,1832478.5999999656,300,0.18333333333333332
14,event_guided,633,933,1832352.5999999705,1832711.3999999566,1832531.9999999637,14,1832527.7999999637,1832536.1999999634,300,0.15666666666666668
15,event_guided,677,978,1832405.3999999685,1832765.3999999545,1832585.3999999615,15,1832579.3999999617,1832591.3999999613,301,0.1362126245847176
16,event_guided,879,1180,1832647.799999959,1833007.799999945,1832827.799999952,16,1832822.9999999523,1832832.599999952,301,0.08305647840531562
17,event_guided,919,1220,1832695.7999999572,1833055.7999999432,1832875.7999999502,17,1832872.1999999504,1832879.39999995,301,0.12956810631229235
18,event_guided,1027,1328,1832825.3999999522,1833185.3999999382,1833005.3999999452,18,1832998.1999999455,1833012.599999945,301,0.17940199335548174
19,event_guided,1066,1366,1832872.1999999504,1833230.9999999364,1833051.5999999433,19,1833044.9999999437,1833058.1999999431,300,0.15666666666666668
20,event_guided,1100,1401,1832912.9999999488,1833272.9999999348,1833092.9999999418,20,1833088.199999942,1833097.7999999416,301,0.15282392026578073
21,event_guided,1173,1473,1833000.5999999454,1833359.3999999315,1833179.9999999385,21,1833176.9999999385,1833182.9999999383,300,0.18666666666666668
22,event_guided,1226,1526,1833064.199999943,1833422.999999929,1833243.5999999358,22,1833240.599999936,1833246.5999999358,300,0.14333333333333334
23,event_guided,1259,1559,1833103.7999999414,1833462.5999999274,1833283.1999999345,23,1833277.7999999346,1833288.5999999342,300,0.11333333333333333
24,event_guided,1324,1624,1833181.7999999383,1833540.5999999244,1833361.1999999313,24,1833358.1999999315,1833364.1999999313,300,0.12333333333333334
25,event_guided,1347,1647,1833209.3999999373,1833568.1999999234,1833388.7999999304,25,1833385.7999999304,1833391.7999999302,300,0.11666666666666667
26,event_guided,1454,1755,1833337.7999999323,1833697.7999999183,1833517.7999999253,26,1833514.1999999254,1833521.3999999252,301,0.08637873754152824
27,event_guided,1556,1857,1833460.1999999275,1833820.1999999136,1833640.1999999206,27,1833636.5999999207,1833643.7999999204,301,0.08305647840531562
28,event_guided,1681,1982,1833610.1999999217,1833970.1999999078,1833790.1999999147,28,1833784.199999915,1833796.1999999145,301,0.1461794019933555
29,event_guided,1717,2017,1833653.39999992,1834012.1999999061,1833832.7999999132,29,1833828.5999999132,1833836.999999913,300,0.12333333333333334
30,event_guided,1756,2057,1833700.1999999182,1834060.1999999043,1833880.1999999112,30,1833876.5999999114,1833883.799999911,301,0.12292358803986711
31,event_guided,1810,2111,1833764.9999999157,1834124.9999999017,1833944.9999999087,31,1833938.999999909,1833950.9999999085,301,0.15614617940199335
32,event_guided,1938,2238,1833918.5999999098,1834277.3999998958,1834097.9999999027,32,1834092.599999903,1834103.3999999026,300,0.12
33,event_guided,1966,2267,1833952.1999999085,1834312.1999998945,1834132.1999999015,33,1834127.3999999017,1834136.9999999013,301,0.08305647840531562
34,event_guided,2016,2316,1834012.1999999061,1834370.9999998922,1834191.599999899,34,1834188.5999998993,1834194.599999899,300,0.13
35,event_guided,2139,2439,1834159.7999999004,1834518.5999998865,1834339.1999998935,35,1834331.3999998937,1834346.9999998931,300,0.1
36,event_guided,2172,2472,1834199.3999998989,1834558.199999885,1834378.7999998918,36,1834373.399999892,1834384.1999998917,300,0.08
37,event_guided,2334,2634,1834393.7999998913,1834752.5999998774,1834573.1999998842,37,1834566.5999998846,1834579.799999884,300,0.04
38,event_guided,2585,2885,1834694.9999998796,1835053.7999998657,1834874.3999998728,38,1834870.1999998728,1834878.5999998725,300,0.02666666666666667
39,event_guided,2770,3071,1834916.999999871,1835276.999999857,1835096.999999864,39,1835093.3999998642,1835100.599999864,301,0.04318936877076412
40,event_guided,2891,3191,1835062.1999998654,1835420.9999998515,1835241.5999998585,40,1835238.5999998585,1835244.5999998583,300,0.12666666666666668
41,event_guided,2942,3242,1835123.399999863,1835482.199999849,1835302.799999856,41,1835297.3999998563,1835308.1999998558,300,0.10333333333333333
42,event_guided,2987,3288,1835177.399999861,1835537.399999847,1835357.399999854,42,1835352.599999854,1835362.1999998537,301,0.10299003322259136
43,event_guided,3029,3329,1835227.799999859,1835586.599999845,1835407.199999852,43,1835404.199999852,1835410.1999998519,300,0.10333333333333333
44,event_guided,3379,3680,1835647.7999998427,1836007.7999998287,1835827.7999998357,44,1835822.9999998359,1835832.5999998355,301,0.029900332225913623
45,event_guided,3627,3927,1835945.399999831,1836304.1999998172,1836124.7999998243,45,1836119.3999998244,1836130.199999824,300,0.03333333333333333
46,event_guided,3838,4139,1836198.5999998213,1836558.5999998073,1836378.5999998143,46,1836374.9999998144,1836382.1999998142,301,0.023255813953488372
47,event_guided,4032,4333,1836431.3999998122,1836791.3999997983,1836611.3999998053,47,1836606.5999998054,1836616.199999805,301,0.04983388704318937
48,event_guided,4174,4474,1836601.7999998056,1836960.5999997917,1836781.1999997986,48,1836778.1999997988,1836784.1999997986,300,0.09666666666666666
49,event_guided,4219,4519,1836655.7999998035,1837014.5999997896,1836835.1999997967,49,1836827.3999997969,1836842.9999997963,300,0.07
50,event_guided,4372,4672,1836839.3999997964,1837198.1999997825,1837018.7999997893,50,1837014.5999997896,1837022.9999997893,300,0.06
51,event_guided,4502,4802,1836995.3999997904,1837354.1999997764,1837174.7999997833,51,1837171.7999997835,1837177.7999997833,300,0.08666666666666667
52,event_guided,4552,4852,1837055.399999788,1837414.199999774,1837234.799999781,52,1837231.7999997812,1837237.799999781,300,0.06
53,event_guided,4613,4913,1837128.5999997852,1837487.3999997713,1837307.9999997783,53,1837304.9999997783,1837310.999999778,300,0.06
54,event_guided,4805,5106,1837358.9999997762,1837718.9999997623,1837538.9999997693,54,1837525.7999997698,1837552.1999997688,301,0.14285714285714285
55,event_guided,4899,5199,1837471.7999997719,1837830.599999758,1837651.199999765,55,1837639.7999997654,1837662.5999997645,300,0.24
56,event_guided,4988,5289,1837578.5999997677,1837938.5999997538,1837758.5999997607,56,1837754.9999997609,1837762.1999997606,301,0.3023255813953488
57,event_guided,5028,5328,1837626.5999997659,1837985.399999752,1837805.9999997588,57,1837793.3999997594,1837818.5999997584,300,0.30333333333333334
58,event_guided,5077,5377,1837685.3999997636,1838044.1999997497,1837864.7999997567,58,1837840.1999997576,1837889.3999997557,300,0.23666666666666666
59,event_guided,5448,5748,1838130.5999997463,1838489.3999997324,1838309.9999997392,59,1838296.1999997399,1838323.7999997388,300,0.31333333333333335
60,event_guided,5547,5847,1838249.3999997417,1838608.1999997278,1838428.7999997349,60,1838392.1999997362,1838465.3999997333,300,0.41333333333333333
61,event_guided,5590,5890,1838300.9999997397,1838659.7999997258,1838480.3999997326,61,1838476.199999733,1838484.5999997326,300,0.49666666666666665
62,event_guided,5696,5997,1838428.1999997348,1838788.1999997208,1838608.1999997278,62,1838573.3999997291,1838642.9999997264,301,0.43853820598006643
63,event_guided,5762,6063,1838507.3999997317,1838867.3999997177,1838687.3999997247,63,1838676.5999997251,1838698.1999997243,301,0.30564784053156147
64,event_guided,5787,6087,1838537.3999997305,1838896.1999997166,1838716.7999997237,64,1838708.9999997239,1838724.5999997233,300,0.30666666666666664
65,event_guided,5952,6253,1838735.3999997228,1839095.3999997089,1838915.3999997159,65,1838897.3999997166,1838933.3999997152,301,0.11627906976744186
