window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,fixed,0,300,1831593.0,1831951.799999986,1831772.399999993,,,,300,0.08
2,fixed,100,400,1831712.9999999953,1832071.7999999814,1831892.3999999883,,,,300,0.17
3,fixed,200,500,1831832.9999999907,1832191.7999999768,1832012.3999999836,,,,300,0.2
4,fixed,300,600,1831952.999999986,1832311.799999972,1832132.399999979,,,,300,0.2
5,fixed,400,700,1832072.9999999814,1832431.7999999675,1832252.3999999743,,,,300,0.16333333333333333
6,fixed,500,800,1832192.9999999767,1832551.7999999628,1832372.3999999696,,,,300,0.2
7,fixed,600,900,1832312.999999972,1832671.7999999581,1832492.399999965,,,,300,0.15666666666666668
8,fixed,700,1000,1832432.9999999674,1832791.7999999535,1832612.3999999603,,,,300,0.10333333333333333
9,fixed,800,1100,1832552.9999999627,1832911.7999999488,1832732.3999999557,,,,300,0.09
10,fixed,900,1200,1832672.999999958,1833031.7999999442,1832852.399999951,,,,300,0.09666666666666666
11,fixed,1000,1300,1832792.9999999534,1833151.7999999395,1832972.3999999464,,,,300,0.16666666666666666
12,fixed,1100,1400,1832912.9999999488,1833271.7999999349,1833092.3999999417,,,,300,0.15333333333333332
13,fixed,1200,1500,1833032.9999999441,1833391.7999999302,1833212.399999937,,,,300,0.18333333333333332
14,fixed,1300,1600,1833152.9999999395,1833511.7999999255,1833332.3999999324,,,,300,0.11333333333333333
15,fixed,1400,1700,1833272.9999999348,1833631.799999921,1833452.3999999277,,,,300,0.09666666666666666
16,fixed,1500,1800,1833392.9999999302,1833751.7999999162,1833572.399999923,,,,300,0.04666666666666667
17,fixed,1600,1900,1833512.9999999255,1833871.7999999116,1833692.3999999184,,,,300,0.11
18,fixed,1700,2000,1833632.9999999208,1833991.799999907,1833812.3999999138,,,,300,0.14666666666666667
19,fixed,1800,2100,1833752.9999999162,1834111.7999999023,1833932.399999909,,,,300,0.15666666666666668
20,fixed,1900,2200,1833872.9999999115,1834231.7999998976,1834052.3999999044,,,,300,0.14333333333333334
21,fixed,2000,2300,1833992.9999999069,1834351.799999893,1834172.3999998998,,,,300,0.13
22,fixed,2100,2400,1834112.9999999022,1834471.7999998883,1834292.3999998951,,,,300,0.13
23,fixed,2200,2500,1834232.9999998976,1834591.7999998836,1834412.3999998905,,,,300,0.12
24,fixed,2300,2600,1834352.999999893,1834711.799999879,1834532.3999998858,,,,300,0.07333333333333333
25,fixed,2400,2700,1834472.9999998882,1834831.7999998743,1834652.3999998812,,,,300,0.04
26,fixed,2500,2800,1834592.9999998836,1834951.7999998697,1834772.3999998765,,,,300,0.02666666666666667
27,fixed,2600,2900,1834712.999999879,1835071.799999865,1834892.3999998719,,,,300,0.02666666666666667
28,fixed,2700,3000,1834832.9999998743,1835191.7999998603,1835012.3999998672,,,,300,0.05
29,fixed,2800,3100,1834952.9999998696,1835311.7999998557,1835132.3999998625,,,,300,0.07666666666666666
30,fixed,2900,3200,1835072.999999865,1835431.799999851,1835252.3999998579,,,,300,0.12666666666666668
31,fixed,3000,3300,1835192.9999998603,1835551.7999998464,1835372.3999998532,,,,300,0.10333333333333333
32,fixed,3100,3400,1835312.9999998556,1835671.7999998417,1835492.3999998486,,,,300,0.05
33,fixed,3200,3500,1835432.999999851,1835791.799999837,1835612.399999844,,,,300,0.0
34,fixed,3300,3600,1835552.9999998463,1835911.7999998324,1835732.3999998393,,,,300,0.03
35,fixed,3400,3700,1835672.9999998417,1836031.7999998278,1835852.3999998346,,,,300,0.03
36,fixed,3500,3800,1835792.999999837,1836151.799999823,1835972.39999983,,,,300,0.06333333333333334
37,fixed,3600,3900,1835912.9999998324,1836271.7999998184,1836092.3999998253,,,,300,0.03333333333333333
38,fixed,3700,4000,1836032.9999998277,1836391.7999998138,1836212.3999998206,,,,300,0.056666666666666664
39,fixed,3800,4100,1836152.999999823,1836511.7999998091,1836332.399999816,,,,300,0.023333333333333334
40,fixed,3900,4200,1836272.9999998184,1836631.7999998045,1836452.3999998113,,,,300,0.05333333333333334
41,fixed,4000,4300,1836392.9999998137,1836751.7999997998,1836572.3999998067,,,,300,0.03
42,fixed,4100,4400,1836512.999999809,1836871.7999997952,1836692.399999802,,,,300,0.09666666666666666
