Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Reconstructed_RQA_RR,event_guided,fixed,83,83,0.047195037912206854,0.0475698605932284,0.04724487274524339,0.04785243741765481,0.0007938088384564735,0.0007146877758852423,-0.00037482268102154853,-0.4962665004673997,-0.30338220351284656,0.0007233285050508403,0.0016697224902651054,0.03534374186744967,0.30338220351284656,0.4962665004673997
Pressure_Clean_HFD,event_guided,fixed,83,83,1.4298888112095194,1.4920418173513377,1.4197013893794597,1.4688267410959162,0.0919667154648333,0.1252424231203904,-0.06215300614181829,-0.5656875895981014,-0.29670489185658294,0.000970019899460747,0.00036866962371853766,0.03534374186744967,0.29670489185658294,0.5656875895981014
Pressure_Clean_SampEn,event_guided,fixed,83,83,0.5804773855360795,0.741761046642895,0.5579813654357381,0.7494384147873848,0.22686179203795237,0.31844440637073856,-0.16128366110681547,-0.5833642580516096,-0.29118885179271303,0.0012049002909357844,0.00024568039782411704,0.03534374186744967,0.29118885179271303,0.5833642580516096
VMD_Reconstructed_SampEn,event_guided,fixed,83,83,0.40041992407825716,0.4534380201186847,0.3941913244721611,0.4544351001434192,0.11043858104669015,0.12784545783331397,-0.053018096040427565,-0.44381651383544596,-0.26825373784293804,0.0028583392348783027,0.004812780760720387,0.06288346316732266,0.26825373784293804,0.44381651383544596
VMD_Reconstructed_HFD,event_guided,fixed,83,83,1.2150147938936042,1.237359948124474,1.205809445620371,1.2480562292503894,0.05170431430649023,0.05230431359447174,-0.02234515423086969,-0.4296717086909488,-0.25054434605893455,0.005343411686035048,0.006289868261054725,0.0880238403861624,0.25054434605893455,0.4296717086909488
Pressure_Clean_RQA_V_mean,event_guided,fixed,83,83,4.505492979289896,4.090005433126694,3.8157894736842106,3.346320346320346,2.3738283830480507,2.4250538190753907,0.4154875461632015,0.1731502710621321,0.24256060386122805,0.007001896394353827,0.26629334857653464,0.0880238403861624,0.24256060386122805,0.1731502710621321
Pressure_Clean_RQA_TT,event_guided,fixed,83,83,4.505492979289896,4.090005433126694,3.8157894736842106,3.346320346320346,2.3738283830480507,2.4250538190753907,0.4154875461632015,0.1731502710621321,0.24256060386122805,0.007001896394353827,0.26629334857653464,0.0880238403861624,0.24256060386122805,0.1731502710621321
Pressure_Clean_RQA_RR,event_guided,fixed,83,83,0.04714912400541804,0.04753156181511942,0.047167325428194996,0.047601521285731814,0.0009203019023550865,0.0009788428379000056,-0.0003824378097013817,-0.40255620303689615,-0.23457686166352157,0.009037604642106687,0.010369214319219387,0.09941365106317356,0.23457686166352157,0.40255620303689615
Pressure_Clean_RQA_DET,event_guided,fixed,83,83,0.7404341040797439,0.6821215631926941,0.7468619246861923,0.7075928917609046,0.11369930533502862,0.14809617531170288,0.058312540887049735,0.44168557400195324,0.22165771519814195,0.013731196508810673,0.005041211340654991,0.13426058808614882,0.22165771519814195,0.44168557400195324
VMD_Reconstructed_ApproxLLE,event_guided,fixed,83,83,0.04275608172117894,0.051714919326049304,0.04018349781641296,0.05263022736446031,0.02408657207659146,0.0229706854152693,-0.008958837604870366,-0.3806562582465777,-0.2171577877776165,0.015771600594707127,0.01524876563922593,0.13879008523342273,0.2171577877776165,0.3806562582465777
Pressure_Clean_RQA_LAM,event_guided,fixed,83,83,0.8526543746556081,0.8138825269649264,0.8598765432098763,0.8292370711725549,0.0657565654401988,0.09546093255364749,0.03877184769068176,0.4730259147684866,0.21120627086659893,0.018876780888409418,0.002743270326719448,0.15089847948572882,0.21120627086659893,0.4730259147684866
Pressure_Clean_RQA_L_mean,event_guided,fixed,83,83,4.159182062945327,3.9271072687913042,3.1522842639593907,2.8808988764044945,4.229389497546739,5.364217469569933,0.23207479415402243,0.0480461585093946,0.20830309188561474,0.020577065384417566,0.7573435277025685,0.15089847948572882,0.20830309188561474,0.0480461585093946
Pressure_Clean_PS_TrajectoryLength,event_guided,fixed,83,83,221.32253711844555,247.36016149400766,213.69768595162517,242.63488522440082,74.93535183741666,87.24519741484421,-26.037624375562103,-0.3201733371162276,-0.19306140223544782,0.03186515476207079,0.04076624107061412,0.20029525850444493,0.19306140223544782,0.3201733371162276
VMD_Mode4_RQA_RR,event_guided,fixed,83,83,0.04876380098477798,0.04880502840789658,0.04865132043496681,0.04865132043496681,0.00018369776182182267,0.00017028067060672936,-4.1227423118600504e-05,-0.23277033683010337,-0.18827115691682392,0.027616022265868793,0.13567286641336823,0.18693922764588106,0.18827115691682392,0.23277033683010337
VMD_Mode3_RQA_DET,event_guided,fixed,83,83,0.9878270609798878,0.9865354885268863,0.9884937238493722,0.9873551106427816,0.004958724589802762,0.00495581833785317,0.0012915724530014883,0.2605409864955763,0.17912614312672376,0.0464172201266654,0.09517002950621756,0.272314358076437,0.17912614312672376,0.2605409864955763
VMD_Mode3_ApproxLLE,event_guided,fixed,83,83,0.06090843077836896,0.06362875921072801,0.05863376337416862,0.06473810268364712,0.013089967373421064,0.014160615055094023,-0.0027203284323590524,-0.19949894903459203,-0.157061982871244,0.0808766068363331,0.20055181546161344,0.43339629031732807,0.157061982871244,0.19949894903459203
Pressure_Clean_PS_MeanStep,event_guided,fixed,83,83,0.8096349113671485,0.8853808950696949,0.7827754064162095,0.8611355929649217,0.27458499176592704,0.31483505206642565,-0.07574598370254637,-0.2564215138341255,-0.15561039338075192,0.08372428335675655,0.1005077357096195,0.43339629031732807,0.15561039338075192,0.2564215138341255
Pressure_Clean_ApproxLLE,event_guided,fixed,83,83,0.02257134743415565,0.027328193662812517,0.02068339940856297,0.025722571575470213,0.020438899029713357,0.019063271888754497,-0.004756846228656866,-0.24069383450268755,-0.14922339962258674,0.09723233642485649,0.12294372137244342,0.46562789553088174,0.14922339962258674,0.24069383450268755
VMD_Reconstructed_PS_StateSpread,event_guided,fixed,83,83,2.2172068255868758,2.076672372420485,2.03193328889308,1.921392519713889,0.7352056628692133,0.7462763742921273,0.1405344531663908,0.18971614365540324,0.14777181013209464,0.10053329562598584,0.22340088418031456,0.46562789553088174,0.14777181013209464,0.18971614365540324
VMD_Mode3_RQA_L_mean,event_guided,fixed,83,83,8.627901298948203,8.316268170049986,8.69047619047619,8.058823529411764,1.5741712891210793,1.4661693014193558,0.31163312889821704,0.2048696080395792,0.13833647844389607,0.12421660377214856,0.18875699910966467,0.5465530565974537,0.13833647844389607,0.2048696080395792
Pressure_Clean_PermEn,event_guided,fixed,83,83,0.967400778125646,0.969984727346584,0.9842021664054915,0.9886222448208286,0.053266491968427775,0.054373053960896166,-0.0025839492209380754,-0.048008613727707296,-0.13412686892146902,0.13609795193656396,0.7575059544069856,0.5541537856471632,0.13412686892146902,0.048008613727707296
Pressure_Clean_PS_StateSpread,event_guided,fixed,83,83,2.362605492773967,2.229606165759186,2.1809220933272226,2.075458723294824,0.7877556320855311,0.7253097320422309,0.1329993270147809,0.17565163466794367,0.12861082885759906,0.1529705423669376,0.25948402463789577,0.5541537856471632,0.12861082885759906,0.17565163466794367
VMD_Mode3_PS_LogVolume,event_guided,fixed,83,83,-1.6560313032068796,-1.434713434628226,-1.7891564959404245,-1.591435446165459,1.0457409819699397,1.1027660503910386,-0.22131786857865365,-0.20594761972445666,-0.1257076498766149,0.16246746750290864,0.1864493121966591,0.5541537856471632,0.1257076498766149,0.20594761972445666
VMD_Reconstructed_RQA_epsilon,event_guided,fixed,83,83,1.0423717981962224,1.0006334082146344,1.0513717287021238,0.9723938878445183,0.3027653161086428,0.3488317389276427,0.041738389981587964,0.12779208048709279,0.12512701408041807,0.164419129007645,0.411589008357128,0.5541537856471632,0.12512701408041807,0.12779208048709279
VMD_Reconstructed_RQA_V_mean,event_guided,fixed,83,83,5.862534594406224,5.420243897174667,5.107890499194847,5.072254335260116,2.1728206473159637,1.8501136292138036,0.4422906972315568,0.21918057080347803,0.12382058353897518,0.16887457640954318,0.159900860038334,0.5541537856471632,0.12382058353897518,0.21918057080347803
VMD_Reconstructed_RQA_TT,event_guided,fixed,83,83,5.862534594406224,5.420243897174667,5.107890499194847,5.072254335260116,2.1728206473159637,1.8501136292138036,0.4422906972315568,0.21918057080347803,0.12382058353897518,0.16887457640954318,0.159900860038334,0.5541537856471632,0.12382058353897518,0.21918057080347803
Pressure_Clean_RQA_L_max,event_guided,fixed,83,83,22.759036144578314,20.85542168674699,18.0,15.0,16.55043316907577,17.51454624028092,1.903614457831324,0.11171898755713416,0.12338510669182755,0.17002445695992507,0.4727378495606639,0.5541537856471632,0.12338510669182755,0.11171898755713416
Pressure_Clean_PS_Eig1,event_guided,fixed,83,83,3.3914042837817457,3.0057042279521657,2.3684549295779087,2.014649813604271,3.043805190292689,2.4711495897917075,0.38570005582958,0.13912621552029958,0.11990129191464653,0.18278530284731231,0.3714840682516731,0.5744680946629815,0.11990129191464653,0.13912621552029958
Pressure_Clean_KFD,event_guided,fixed,83,83,2.0772756378793016,2.1202709406019515,2.054304240495063,2.120064466799572,0.31321007228875886,0.29949947962320145,-0.04299530272264995,-0.140309685467667,-0.11670779503556394,0.19473379352329367,0.3673864648525942,0.5841744249868676,0.11670779503556394,0.140309685467667
VMD_Mode3_PFD,event_guided,fixed,83,83,1.0060952626618282,1.0062027038668935,1.0062151923257383,1.0062393352944696,0.0006576948902410613,0.0006850820707063269,-0.00010744120506522847,-0.15999509631197234,-0.11453041079982582,0.20137459200103713,0.3042034095932809,0.5841744249868676,0.11453041079982582,0.15999509631197234
