Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Mode3_RQA_DET,event_guided,fixed,83,83,0.9878270609798878,0.9865354885268863,0.9884937238493722,0.9873551106427816,0.004958724589802762,0.00495581833785317,0.0012915724530014883,0.2605409864955763,0.17912614312672376,0.0464172201266654,0.09517002950621756,0.272314358076437,0.17912614312672376,0.2605409864955763
VMD_Mode3_ApproxLLE,event_guided,fixed,83,83,0.06090843077836896,0.06362875921072801,0.05863376337416862,0.06473810268364712,0.013089967373421064,0.014160615055094023,-0.0027203284323590524,-0.19949894903459203,-0.157061982871244,0.0808766068363331,0.20055181546161344,0.43339629031732807,0.157061982871244,0.19949894903459203
VMD_Mode3_PS_LogVolume,event_guided,fixed,83,83,-1.6560313032068796,-1.434713434628226,-1.7891564959404245,-1.591435446165459,1.0457409819699397,1.1027660503910386,-0.22131786857865365,-0.20594761972445666,-0.1257076498766149,0.16246746750290864,0.1864493121966591,0.5541537856471632,0.1257076498766149,0.20594761972445666
VMD_Mode4_HFD,event_guided,fixed,83,83,1.4205125592466041,1.4251782365892711,1.4159960442630013,1.4212895506808945,0.032326639031500154,0.03043198209900026,-0.004665677342666985,-0.14861870880959527,-0.10683698650021774,0.2352694462247027,0.3397751887175171,0.5841744249868676,0.10683698650021774,0.14861870880959527
VMD_Mode4_PS_LogVolume,event_guided,fixed,83,83,-1.2527786435899828,-1.0460512318129829,-1.3177783509232737,-1.3831150463477997,1.1986380707623037,1.2564111820070254,-0.20672741177699994,-0.16836338038180673,-0.07751487879227754,0.3894033036925295,0.27969190747626066,0.6899622271814496,0.07751487879227754,0.16836338038180673
VMD_Mode3_PermEn,event_guided,fixed,83,83,0.9670848588262316,0.965157519340107,0.9716471468487413,0.9671361255055403,0.01751876476255966,0.021522747147576148,0.0019273394861246684,0.09821765729756601,0.07214399767745681,0.4231590712306562,0.5278320285629038,0.6899622271814496,0.07214399767745681,0.09821765729756601
VMD_Mode4_PermEn,event_guided,fixed,83,83,0.9695908714823971,0.9667536705091966,0.981393265064865,0.9778395645678071,0.023781519015884156,0.02327730205526566,0.0028372009732005044,0.12057412672957082,0.07112788503411235,0.4297334699272144,0.43842892529932054,0.6899622271814496,0.07112788503411235,0.12057412672957082
VMD_Mode4_RQA_LAM,event_guided,fixed,83,83,0.8408508595112096,0.8507958603985145,0.850552618933205,0.8526850507982582,0.0722203718637704,0.0652646286869892,-0.009945000887304878,-0.14448554373199463,-0.06459573232689796,0.47338388359825356,0.3533478520987082,0.6988295285313165,0.06459573232689796,0.14448554373199463
VMD_Mode4_SampEn,event_guided,fixed,83,83,0.5475732671290412,0.5415545948153511,0.5773322440335167,0.5689639943630146,0.09829582835686188,0.09605947119294787,0.006018672313690132,0.06193063867713393,0.06445057337784875,0.47438290022974416,0.6904417851508089,0.6988295285313165,0.06445057337784875,0.06193063867713393
VMD_Mode4_RQA_DET,event_guided,fixed,83,83,0.958616416228474,0.9563710977997201,0.9596347909658816,0.9593613933236572,0.014313302994829602,0.017330541155890358,0.002245318428753973,0.14127112460265348,0.0637247786326027,0.4793706762918182,0.364165896083284,0.6988295285313165,0.0637247786326027,0.14127112460265348
VMD_Mode3_RQA_LAM,event_guided,fixed,83,83,0.9599359387862657,0.9598532348753857,0.9639175257731957,0.9605670103092782,0.01580153933012494,0.013453076363628797,8.270391088005535e-05,0.005635945225383766,0.05835389751778197,0.51727172434977,0.9710828163253066,0.7112486209809337,0.05835389751778197,0.005635945225383766
VMD_Mode4_ApproxLLE,event_guided,fixed,83,83,0.0913345024812311,0.09306145858600753,0.09295503111187134,0.09362854174802879,0.014835771674995751,0.014995297891093147,-0.0017269561047764392,-0.11578072373549744,-0.052547539555813615,0.559926526630144,0.4568167428229998,0.7465687021735252,0.052547539555813615,0.11578072373549744
VMD_Mode3_SampEn,event_guided,fixed,83,83,0.5411369552549902,0.5437275829754006,0.5642263550368015,0.5612726030161995,0.08036855076229135,0.07959200484475422,-0.00259062772041041,-0.032390450060188127,-0.023806067644070256,0.7923841443028888,0.8349719399398376,0.863957695129852,0.023806067644070256,0.032390450060188127
VMD_Mode3_HFD,event_guided,fixed,83,83,1.1419776249484739,1.142440695622527,1.1436010165718091,1.1427388263460698,0.0180746088252329,0.015114169996310775,-0.0004630706740531565,-0.02779489746626662,-0.021193206561184497,0.8148691897247468,0.8581215867005982,0.863957695129852,0.021193206561184497,0.02779489746626662
