window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,event_guided,316,616,106076.19999999908,106434.99999999821,106255.59999999864,1,106252.59999999865,106258.59999999864,300,0.02
2,event_guided,1524,1824,107525.79999999556,107884.5999999947,107705.19999999512,2,107693.79999999516,107716.5999999951,300,0.06666666666666667
3,event_guided,1733,2034,107776.59999999496,108136.59999999408,107956.59999999452,3,107954.19999999453,107958.99999999451,301,0.016611295681063124
4,event_guided,1892,2192,107967.3999999945,108326.19999999362,108146.79999999405,4,108142.59999999407,108150.99999999405,300,0.02666666666666667
5,event_guided,2412,2712,108591.39999999298,108950.19999999211,108770.79999999254,5,108766.59999999256,108774.99999999253,300,0.02666666666666667
6,event_guided,2762,3062,109011.39999999196,109370.19999999109,109190.79999999152,6,109187.79999999153,109193.79999999152,300,0.02
7,event_guided,3404,3704,109781.7999999901,110140.59999998922,109961.19999998965,7,109944.9999999897,109977.39999998962,300,0.25666666666666665
8,event_guided,3425,3726,109806.99999999003,110166.99999998916,109986.9999999896,8,109983.3999999896,109990.59999998959,301,0.2558139534883721
9,event_guided,3480,3780,109872.99999998987,110231.799999989,110052.39999998943,9,110044.59999998946,110060.19999998942,300,0.33666666666666667
10,event_guided,3517,3817,109917.39999998976,110276.1999999889,110096.79999998934,10,110080.59999998937,110112.99999998929,300,0.46
11,event_guided,3646,3947,110072.19999998939,110432.19999998852,110252.19999998895,11,110204.19999998907,110300.19999998884,301,0.36212624584717606
12,event_guided,4088,4388,110602.5999999881,110961.39999998723,110781.99999998766,12,110750.19999998774,110813.79999998759,300,0.18
13,event_guided,4394,4695,110969.79999998721,111329.79999998634,111149.79999998678,13,111144.99999998679,111154.59999998676,301,0.046511627906976744
14,event_guided,4409,4710,110987.79999998717,111347.7999999863,111167.79999998673,14,111165.39999998674,111170.19999998673,301,0.046511627906976744
15,event_guided,4711,5012,111350.19999998629,111710.19999998542,111530.19999998585,15,111519.39999998588,111540.99999998583,301,0.06312292358803986
16,event_guided,5115,5416,111834.99999998511,112194.99999998424,112014.99999998468,16,112010.19999998469,112019.79999998467,301,0.10631229235880399
17,event_guided,5144,5444,111869.79999998503,112228.59999998416,112049.19999998459,17,112043.7999999846,112054.59999998458,300,0.10666666666666667
18,event_guided,5251,5552,111998.19999998472,112358.19999998384,112178.19999998428,18,112170.9999999843,112185.39999998426,301,0.12292358803986711
19,event_guided,5316,5617,112076.19999998453,112436.19999998366,112256.19999998409,19,112253.7999999841,112258.59999998409,301,0.07973421926910298
20,event_guided,5436,5736,112220.19999998418,112578.99999998331,112399.59999998374,20,112396.59999998375,112402.59999998374,300,0.07666666666666666
21,event_guided,5532,5832,112335.3999999839,112694.19999998303,112514.79999998346,21,112511.79999998347,112517.79999998346,300,0.06
22,event_guided,5578,5878,112390.59999998377,112749.3999999829,112569.99999998332,22,112566.99999998334,112572.99999998332,300,0.06
23,event_guided,6098,6398,113014.59999998225,113373.39999998138,113193.99999998181,23,113190.99999998182,113196.99999998181,300,0.056666666666666664
24,event_guided,6125,6426,113046.99999998217,113406.9999999813,113226.99999998174,24,113224.59999998174,113229.39999998173,301,0.05647840531561462
25,event_guided,6202,6502,113139.39999998195,113498.19999998108,113318.79999998151,25,113315.79999998152,113321.79999998151,300,0.056666666666666664
26,event_guided,6374,6675,113345.79999998145,113705.79999998058,113525.79999998101,26,113523.39999998102,113528.199999981,301,0.06976744186046512
27,event_guided,6422,6722,113403.39999998131,113762.19999998044,113582.79999998087,27,113577.39999998089,113588.19999998086,300,0.13333333333333333
28,event_guided,6490,6790,113484.99999998111,113843.79999998024,113664.39999998067,28,113661.39999998068,113667.39999998067,300,0.13333333333333333
29,event_guided,6541,6841,113546.19999998096,113904.9999999801,113725.59999998054,29,113721.39999998054,113729.79999998052,300,0.11666666666666667
30,event_guided,6562,6863,113571.3999999809,113931.39999998003,113751.39999998047,30,113745.39999998048,113757.39999998045,301,0.132890365448505
31,event_guided,6706,7007,113744.19999998048,114104.19999997961,113924.19999998005,31,113921.79999998005,113926.59999998004,301,0.053156146179401995
32,event_guided,6964,7265,114053.79999997973,114413.79999997886,114233.7999999793,32,114231.3999999793,114236.19999997929,301,0.06976744186046512
33,event_guided,6991,7292,114086.19999997965,114446.19999997878,114266.19999997922,33,114262.59999997923,114269.79999997921,301,0.06976744186046512
34,event_guided,7074,7375,114185.79999997941,114545.79999997854,114365.79999997898,34,114360.99999997899,114370.59999997896,301,0.33554817275747506
35,event_guided,7227,7527,114369.39999997897,114728.1999999781,114548.79999997854,35,114450.99999997877,114646.5999999783,300,0.57
36,event_guided,7331,7632,114494.19999997866,114854.19999997779,114674.19999997823,36,114671.79999997823,114676.59999997822,301,0.5083056478405316
37,event_guided,7441,7741,114626.19999997834,114984.99999997747,114805.59999997792,37,114794.19999997794,114816.99999997788,300,0.17
38,event_guided,7488,7788,114682.5999999782,115041.39999997734,114861.99999997776,38,114857.79999997778,114866.19999997776,300,0.09333333333333334
