window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,fixed,0,300,105697.0,106055.79999999913,105876.39999999956,,,,300,0.0
2,fixed,100,400,105816.99999999971,106175.79999999884,105996.39999999927,,,,300,0.0
3,fixed,200,500,105936.99999999942,106295.79999999855,106116.39999999898,,,,300,0.02
4,fixed,300,600,106056.99999999913,106415.79999999826,106236.39999999868,,,,300,0.02
5,fixed,400,700,106176.99999999884,106535.79999999797,106356.3999999984,,,,300,0.02
6,fixed,500,800,106296.99999999854,106655.79999999767,106476.3999999981,,,,300,0.0
7,fixed,600,900,106416.99999999825,106775.79999999738,106596.39999999781,,,,300,0.0
8,fixed,700,1000,106536.99999999796,106895.79999999709,106716.39999999752,,,,300,0.0
9,fixed,800,1100,106656.99999999767,107015.7999999968,106836.39999999723,,,,300,0.0
10,fixed,900,1200,106776.99999999738,107135.79999999651,106956.39999999694,,,,300,0.0
11,fixed,1000,1300,106896.99999999709,107255.79999999622,107076.39999999665,,,,300,0.0
12,fixed,1100,1400,107016.9999999968,107375.79999999593,107196.39999999636,,,,300,0.0
13,fixed,1200,1500,107136.99999999651,107495.79999999564,107316.39999999607,,,,300,0.0
14,fixed,1300,1600,107256.99999999622,107615.79999999535,107436.39999999577,,,,300,0.0
15,fixed,1400,1700,107376.99999999593,107735.79999999506,107556.39999999548,,,,300,0.06666666666666667
16,fixed,1500,1800,107496.99999999563,107855.79999999476,107676.39999999519,,,,300,0.06666666666666667
17,fixed,1600,1900,107616.99999999534,107975.79999999447,107796.3999999949,,,,300,0.08333333333333333
18,fixed,1700,2000,107736.99999999505,108095.79999999418,107916.39999999461,,,,300,0.016666666666666666
19,fixed,1800,2100,107856.99999999476,108215.79999999389,108036.39999999432,,,,300,0.043333333333333335
20,fixed,1900,2200,107976.99999999447,108335.7999999936,108156.39999999403,,,,300,0.02666666666666667
21,fixed,2000,2300,108096.99999999418,108455.79999999331,108276.39999999374,,,,300,0.02666666666666667
22,fixed,2100,2400,108216.99999999389,108575.79999999302,108396.39999999345,,,,300,0.0
23,fixed,2200,2500,108336.9999999936,108695.79999999273,108516.39999999315,,,,300,0.0
24,fixed,2300,2600,108456.9999999933,108815.79999999244,108636.39999999286,,,,300,0.02666666666666667
25,fixed,2400,2700,108576.99999999302,108935.79999999214,108756.39999999257,,,,300,0.02666666666666667
26,fixed,2500,2800,108696.99999999272,109055.79999999185,108876.39999999228,,,,300,0.02666666666666667
27,fixed,2600,2900,108816.99999999243,109175.79999999156,108996.39999999199,,,,300,0.0
28,fixed,2700,3000,108936.99999999214,109295.79999999127,109116.3999999917,,,,300,0.02
29,fixed,2800,3100,109056.99999999185,109415.79999999098,109236.39999999141,,,,300,0.02
30,fixed,2900,3200,109176.99999999156,109535.79999999069,109356.39999999112,,,,300,0.02
31,fixed,3000,3300,109296.99999999127,109655.7999999904,109476.39999999083,,,,300,0.0
32,fixed,3100,3400,109416.99999999098,109775.79999999011,109596.39999999054,,,,300,0.0
33,fixed,3200,3500,109536.99999999069,109895.79999998982,109716.39999999024,,,,300,0.0
34,fixed,3300,3600,109656.9999999904,110015.79999998953,109836.39999998995,,,,300,0.11666666666666667
35,fixed,3400,3700,109776.9999999901,110135.79999998923,109956.39999998966,,,,300,0.25666666666666665
36,fixed,3500,3800,109896.99999998981,110255.79999998894,110076.39999998937,,,,300,0.4033333333333333
37,fixed,3600,3900,110016.99999998952,110375.79999998865,110196.39999998908,,,,300,0.41
38,fixed,3700,4000,110136.99999998923,110495.79999998836,110316.39999998879,,,,300,0.27
39,fixed,3800,4100,110256.99999998894,110615.79999998807,110436.3999999885,,,,300,0.12333333333333334
40,fixed,3900,4200,110376.99999998865,110735.79999998778,110556.3999999882,,,,300,0.0
41,fixed,4000,4300,110496.99999998836,110855.79999998749,110676.39999998792,,,,300,0.18
42,fixed,4100,4400,110616.99999998807,110975.7999999872,110796.39999998763,,,,300,0.18
43,fixed,4200,4500,110736.99999998778,111095.7999999869,110916.39999998733,,,,300,0.18
44,fixed,4300,4600,110856.99999998749,111215.79999998662,111036.39999998704,,,,300,0.04666666666666667
45,fixed,4400,4700,110976.9999999872,111335.79999998632,111156.39999998675,,,,300,0.04666666666666667
46,fixed,4500,4800,111096.9999999869,111455.79999998603,111276.39999998646,,,,300,0.04666666666666667
47,fixed,4600,4900,111216.99999998661,111575.79999998574,111396.39999998617,,,,300,0.06333333333333334
48,fixed,4700,5000,111336.99999998632,111695.79999998545,111516.39999998588,,,,300,0.06333333333333334
49,fixed,4800,5100,111456.99999998603,111815.79999998516,111636.39999998559,,,,300,0.06333333333333334
50,fixed,4900,5200,111576.99999998574,111935.79999998487,111756.3999999853,,,,300,0.0
51,fixed,5000,5300,111696.99999998545,112055.79999998458,111876.399999985,,,,300,0.06333333333333334
52,fixed,5100,5400,111816.99999998516,112175.79999998429,111996.39999998471,,,,300,0.08
53,fixed,5200,5500,111936.99999998487,112295.799999984,112116.39999998442,,,,300,0.12333333333333334
54,fixed,5300,5600,112056.99999998457,112415.7999999837,112236.39999998413,,,,300,0.08
55,fixed,5400,5700,112176.99999998428,112535.79999998341,112356.39999998384,,,,300,0.08333333333333333
56,fixed,5500,5800,112296.999999984,112655.79999998312,112476.39999998355,,,,300,0.06
57,fixed,5600,5900,112416.9999999837,112775.79999998283,112596.39999998326,,,,300,0.04
58,fixed,5700,6000,112536.99999998341,112895.79999998254,112716.39999998297,,,,300,0.02
59,fixed,5800,6100,112656.99999998312,113015.79999998225,112836.39999998268,,,,300,0.0
60,fixed,5900,6200,112776.99999998283,113135.79999998196,112956.39999998239,,,,300,0.0
61,fixed,6000,6300,112896.99999998254,113255.79999998167,113076.3999999821,,,,300,0.03666666666666667
62,fixed,6100,6400,113016.99999998225,113375.79999998138,113196.3999999818,,,,300,0.056666666666666664
63,fixed,6200,6500,113136.99999998196,113495.79999998109,113316.39999998151,,,,300,0.056666666666666664
64,fixed,6300,6600,113256.99999998166,113615.7999999808,113436.39999998122,,,,300,0.07
