Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
Pressure_Clean_HFD,event_guided,fixed,101,101,1.3603221166812645,1.4590771877969437,1.3248448963241808,1.4713119984197764,0.12036840691421154,0.17749861135765177,-0.09875507111567927,-0.651211929761072,-0.361043034996569,9.34723933752909e-06,7.150629251206759e-06,0.0008225570617025599,0.361043034996569,0.651211929761072
VMD_Reconstructed_PFD,event_guided,fixed,101,101,1.0090528880666587,1.0094304571256751,1.00915801767618,1.0096451313196015,0.0013471314208823295,0.0019519966303842059,-0.0003775690590164249,-0.22513760971632407,-0.3034996568963827,0.00019232395834672277,0.11139699602188287,0.008462254167255802,0.3034996568963827,0.22513760971632407
VMD_Reconstructed_HFD,event_guided,fixed,101,101,1.2138469854452318,1.2426019789512865,1.2052899607036143,1.2487982483795632,0.04495657930785658,0.07365196638209953,-0.028754993506054705,-0.4712760011785973,-0.2888932457602196,0.00039130504486048034,0.0010042728606881512,0.011478281315907423,0.2888932457602196,0.4712760011785973
VMD_Mode4_RQA_DET,event_guided,fixed,101,101,0.9836860346689758,0.9793406946244022,0.9854709418837673,0.9812252964426875,0.009126513017987272,0.011492146293635786,0.004345340044573542,0.4187487811767352,0.26085677874718166,0.0013654411589620933,0.003301894012189615,0.03003970549716605,0.26085677874718166,0.4187487811767352
Pressure_Clean_SampEn,event_guided,fixed,101,101,0.3333577918737862,0.48178294040790304,0.3021830663388011,0.43182154444574145,0.17190479215279736,0.32179010888343207,-0.1484251485341168,-0.57535149694785,-0.24458386432702675,0.0026835230629889914,6.993177778146774e-05,0.03916663631348479,0.24458386432702675,0.57535149694785
VMD_Reconstructed_PS_EigRatio12,event_guided,fixed,101,101,2.2234438424228418,4.620248669227631,1.3052176181211586,1.8140354764428193,2.5215293181872918,11.026809548881696,-2.396804826804789,-0.29966073006949917,-0.24105479854916184,0.003091297224197395,0.03543515970152394,0.03916663631348479,0.24105479854916184,0.29966073006949917
VMD_Mode4_HFD,event_guided,fixed,101,101,1.1959425532377026,1.2046837396269727,1.1975407986380477,1.2016688508052842,0.02002762809578821,0.02066821824154084,-0.008741186389270128,-0.42953295956461707,-0.24085873933928045,0.003115527888572654,0.002578850185833292,0.03916663631348479,0.24085873933928045,0.42953295956461707
Pressure_Clean_PFD,event_guided,fixed,101,101,1.0202075837803848,1.0213832775654053,1.0209228708970717,1.0224362222105259,0.005164915945737807,0.007235880402946419,-0.0011756937850204707,-0.18702572822201616,-0.23458484462307616,0.003984348565367607,0.18549953734774832,0.039597613733555616,0.23458484462307616,0.18702572822201616
Pressure_Clean_RQA_DET,event_guided,fixed,101,101,0.8224769217071688,0.7643788975311053,0.8345588235294116,0.7769823788546254,0.10017806089873567,0.15107742445692515,0.05809802417606347,0.45325475547713806,0.2341927262033134,0.004049755950022734,0.0015252549690597049,0.039597613733555616,0.2341927262033134,0.45325475547713806
Pressure_Clean_RQA_LAM,event_guided,fixed,101,101,0.8973075207574072,0.8589345091186397,0.9080246913580244,0.878859857482185,0.05891252137494321,0.09671201553092183,0.038373011638767496,0.47921547796136543,0.22713459464758357,0.00531007638359524,0.0008292345763052381,0.04576731052036173,0.22713459464758357,0.47921547796136543
VMD_Mode4_PFD,event_guided,fixed,101,101,1.0071035133695154,1.0072684130714973,1.007124036703865,1.0071516752675675,0.00036982001265413494,0.0005122011447560583,-0.00016489970198185766,-0.36913466782496873,-0.22370355847465934,0.0057209138150452156,0.009449845427733587,0.04576731052036173,0.22370355847465934,0.36913466782496873
VMD_Reconstructed_RQA_epsilon,event_guided,fixed,101,101,1.1969299987234747,0.9781782746531263,1.1057091762578841,0.8710707444321028,0.57527954324976,0.44786987793338573,0.21875172407034837,0.4243272917754374,0.2143907460052936,0.008510286319861076,0.0029197232269934314,0.05937042489718446,0.2143907460052936,0.4243272917754374
VMD_Reconstructed_PS_MeanStep,event_guided,fixed,101,101,0.6803881113753326,0.5476378490223196,0.6264263849130622,0.5037760085089558,0.40211827374459835,0.3121944423736446,0.13275026235301302,0.36877600050598996,0.2128222723262425,0.009004942076832072,0.009492357845126306,0.05937042489718446,0.2128222723262425,0.36877600050598996
VMD_Reconstructed_PS_LogVolume,event_guided,fixed,101,101,4.055321609624237,2.524850974232987,3.4428865135855187,2.1533226784206043,4.512884808393108,4.0999845688611245,1.5304706353912496,0.3549838974680634,0.21086168022742868,0.00965927390548782,0.012433976638303892,0.05937042489718446,0.21086168022742868,0.3549838974680634
Pressure_Clean_PS_EigRatio12,event_guided,fixed,101,101,2.0792530689027418,5.683254112741422,1.3024556163044023,1.696507840417923,1.7893563160891897,17.71367416733008,-3.6040010438386805,-0.2862771482646251,-0.2079207920792079,0.010720333016516393,0.044507240206488434,0.05937042489718446,0.2079207920792079,0.2862771482646251
VMD_Reconstructed_PS_TrajectoryLength,event_guided,fixed,101,101,184.0152078815835,151.10977880464023,168.73567731328947,138.11659798507833,102.69780212196021,84.90506941217846,32.90542907694328,0.3492316068246828,0.20772473286932655,0.010794622708578993,0.013927299443508543,0.05937042489718446,0.20772473286932655,0.3492316068246828
Pressure_Clean_PS_Eig2,event_guided,fixed,101,101,7.781597786353369,6.244684495089002,3.8724365591239245,2.825892548928122,12.500151950131116,13.030775239478356,1.5369132912643666,0.1203702041799039,0.2045877855112244,0.012047090428373215,0.3933600481130304,0.06236140927628488,0.2045877855112244,0.1203702041799039
