Method,ACC,Balanced_ACC,SEN,SPE,PPV,NPV,Precision,F1,AUC,TN,FP,FN,TP,Model,N_Subjects,N_Features_Total,N_Features_Selected,Scaler,FeatureSelection
event_guided,0.6666666666666666,0.6607142857142857,0.75,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7058823529411765,0.75,4,3,2,6,GradientBoosting,15,592,10,standard,kbest_f
event_guided,0.5333333333333333,0.5267857142857143,0.625,0.42857142857142855,0.5555555555555556,0.5,0.5555555555555556,0.5882352941176471,0.6875,3,4,3,5,KNN,15,592,10,standard,kbest_f
event_guided,0.6,0.5982142857142857,0.625,0.5714285714285714,0.625,0.5714285714285714,0.625,0.625,0.6785714285714286,4,3,3,5,RandomForest,15,592,10,standard,kbest_f
event_guided,0.6,0.5982142857142857,0.625,0.5714285714285714,0.625,0.5714285714285714,0.625,0.625,0.6785714285714286,4,3,3,5,ExtraTrees,15,592,10,standard,kbest_f
event_guided,0.5333333333333333,0.5267857142857143,0.625,0.42857142857142855,0.5555555555555556,0.5,0.5555555555555556,0.5882352941176471,0.6428571428571429,3,4,3,5,GaussianNB,15,592,10,standard,kbest_f
event_guided,0.6,0.6071428571428572,0.5,0.7142857142857143,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5714285714285714,0.625,5,2,4,4,Logistic_L1,15,592,10,standard,kbest_f
event_guided,0.5333333333333333,0.5267857142857143,0.625,0.42857142857142855,0.5555555555555556,0.5,0.5555555555555556,0.5882352941176471,0.625,3,4,3,5,SVM_RBF,15,592,10,standard,kbest_f
event_guided,0.5333333333333333,0.5267857142857143,0.625,0.42857142857142855,0.5555555555555556,0.5,0.5555555555555556,0.5882352941176471,0.5892857142857143,3,4,3,5,Logistic_L2,15,592,10,standard,kbest_f
event_guided,0.6,0.5982142857142857,0.625,0.5714285714285714,0.625,0.5714285714285714,0.625,0.625,0.5535714285714286,4,3,3,5,SVM_Linear,15,592,10,standard,kbest_f
event_guided,0.7333333333333333,0.7321428571428572,0.75,0.7142857142857143,0.75,0.7142857142857143,0.75,0.75,0.75,5,2,2,6,RandomForest,15,592,20,standard,kbest_f
event_guided,0.6666666666666666,0.6696428571428572,0.625,0.7142857142857143,0.7142857142857143,0.625,0.7142857142857143,0.6666666666666666,0.7321428571428571,5,2,3,5,ExtraTrees,15,592,20,standard,kbest_f
event_guided,0.6,0.5982142857142857,0.625,0.5714285714285714,0.625,0.5714285714285714,0.625,0.625,0.7142857142857142,4,3,3,5,GradientBoosting,15,592,20,standard,kbest_f
event_guided,0.7333333333333333,0.7232142857142857,0.875,0.5714285714285714,0.7,0.8,0.7,0.7777777777777778,0.6964285714285715,4,3,1,7,GaussianNB,15,592,20,standard,kbest_f
event_guided,0.5333333333333333,0.5357142857142857,0.5,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.5333333333333333,0.6964285714285714,4,3,4,4,SVM_RBF,15,592,20,standard,kbest_f
