Feature,ClassA,ClassB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,MannWhitney_p,CohenD,CliffsDelta,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Reconstructed_EmbeddingDim__mean,0,1,7,8,3.648609991648933,3.936437541197562,3.6610169491525424,3.9201514269073963,0.0037296037296037296,-2.0294662927194125,-0.8571428571428571,0.30665630665630667,0.8571428571428571,2.0294662927194125
Pressure_Clean_PS_Eig2__median,0,1,7,8,2.073638732702507,4.471828619105612,2.001102934623629,3.731900276020011,0.0037296037296037296,-1.5405505775097967,-0.8571428571428571,0.30665630665630667,0.8571428571428571,1.5405505775097967
Pressure_Clean_PS_LogVolume__median,0,1,7,8,2.035845909196099,4.670492752555084,1.5688023915249067,4.537916361977871,0.005905205905205905,-1.6307804064443212,-0.8214285714285714,0.30665630665630667,0.8214285714285714,1.6307804064443212
VMD_Reconstructed_Skewness__std,0,1,7,8,0.7864999068608254,1.1757867265944912,0.7578559039352696,1.0464013953869442,0.005905205905205905,-1.5725130352869692,-0.8214285714285714,0.30665630665630667,0.8214285714285714,1.5725130352869692
VMD_Mode4_PermEn__median,0,1,7,8,0.962171020952158,0.9743701298657985,0.9646899882834168,0.9729401009938317,0.005905205905205905,-1.3949551417187818,-0.8214285714285714,0.30665630665630667,0.8214285714285714,1.3949551417187818
Pressure_Clean_Kurtosis__median,0,1,7,8,4.707466295413971,6.966401824526024,4.9132845169593615,6.379195928647513,0.005905205905205905,-1.366528770753872,-0.8214285714285714,0.30665630665630667,0.8214285714285714,1.366528770753872
VMD_Reconstructed_RQA_L_max__std,0,1,7,8,10.17252191834964,14.412074105738514,10.308431804723355,14.247038628009637,0.009324009324009324,-1.893781247235433,-0.7857142857142857,0.30665630665630667,0.7857142857142857,1.893781247235433
VMD_Reconstructed_PS_LogVolume__median,0,1,7,8,1.4973229079989878,3.888396864089028,1.2956381684706444,3.4976292387585928,0.009324009324009324,-1.5405855558461685,-0.7857142857142857,0.30665630665630667,0.7857142857142857,1.5405855558461685
VMD_Reconstructed_EmbeddedVectors__median,0,1,7,8,281.7142857142857,278.625,281.0,279.0,0.01181793995709813,1.4226132982635624,0.7857142857142857,0.30665630665630667,0.7857142857142857,1.4226132982635624
VMD_Reconstructed_Diff_MAD__median,0,1,7,8,0.13288776582729506,0.08084633760317943,0.1197938810785867,0.0854786224234953,0.009324009324009324,1.369851105620935,0.7857142857142857,0.30665630665630667,0.7857142857142857,1.369851105620935
Pressure_Clean_PS_MeanStep__median,0,1,7,8,0.8848902062177737,1.1375321863431866,0.93529049164199,1.0788980774936203,0.009324009324009324,-1.3336915728325482,-0.7857142857142857,0.30665630665630667,0.7857142857142857,1.3336915728325482
Pressure_Clean_PS_StepStd__median,0,1,7,8,0.570796758305273,0.8943506860068458,0.6090229293459279,0.7961125202298601,0.009324009324009324,-1.3192200994751273,-0.7857142857142857,0.30665630665630667,0.7857142857142857,1.3192200994751273
Pressure_Clean_PS_TrajectoryLength__median,0,1,7,8,245.35720369693288,315.33052936561745,259.05760430761586,300.84533622116373,0.009324009324009324,-1.313745196018695,-0.7857142857142857,0.30665630665630667,0.7857142857142857,1.313745196018695
