Feature,ClassA,ClassB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,MannWhitney_p,CohenD,CliffsDelta,FDR_q,AbsCliffsDelta,AbsCohenD
Pressure_Clean_Skewness__std,0,1,7,8,0.908905653487159,1.4530838237730996,0.9007412450376626,1.5241927844394874,0.0021756021756021756,-1.9965658504965207,-0.8928571428571429,0.22999222999223,0.8928571428571429,1.9965658504965207
VMD_Reconstructed_Skewness__std,0,1,7,8,0.8731268558252719,1.3945401998789413,0.826399921078203,1.4975767206475976,0.0021756021756021756,-1.9446834645362099,-0.8928571428571429,0.22999222999223,0.8928571428571429,1.9446834645362099
VMD_Mode4_PS_Eig2__iqr,0,1,7,8,1.0212022902637268,2.852234984248647,0.9905241772453448,1.9664490980510774,0.0021756021756021756,-1.206531673022715,-0.8928571428571429,0.22999222999223,0.8928571428571429,1.206531673022715
Pressure_Clean_Skewness__iqr,0,1,7,8,1.0905745564086824,1.987497813376153,0.9625596581646184,1.9466109312067414,0.0037296037296037296,-1.9509159307619077,-0.8571428571428571,0.22999222999223,0.8571428571428571,1.9509159307619077
VMD_Mode4_PS_Eig2__std,0,1,7,8,1.7702043441402473,57.69041535859321,2.267885410582183,7.149405550481577,0.0037296037296037296,-0.5704170703634666,-0.8571428571428571,0.22999222999223,0.8571428571428571,0.5704170703634666
VMD_Mode4_Skewness__std,0,1,7,8,0.09096459427142282,0.25336328620106063,0.0795969079569768,0.24830389003456071,0.005905205905205905,-1.7965180089016262,-0.8214285714285714,0.22999222999223,0.8214285714285714,1.7965180089016262
VMD_Mode4_Kurtosis__std,0,1,7,8,1.331088171639452,2.538111213588968,1.4360312136686648,2.365546466511293,0.005905205905205905,-1.7879331517495627,-0.8214285714285714,0.22999222999223,0.8214285714285714,1.7879331517495627
VMD_Mode4_PS_Eig1__mean,0,1,7,8,3.588462589576102,18.0998834686534,3.1845764025660745,7.24623901384399,0.005905205905205905,-0.7929404258069294,-0.8214285714285714,0.22999222999223,0.8214285714285714,0.7929404258069294
VMD_Mode4_PS_Eig2__mean,0,1,7,8,2.003713742339763,11.005191990410808,1.7955250118550332,4.041249095158456,0.005905205905205905,-0.7762193746550671,-0.8214285714285714,0.22999222999223,0.8214285714285714,0.7762193746550671
VMD_Mode4_PS_Eig1__std,0,1,7,8,3.2035532526276507,88.9181072542035,4.114861011440207,13.410167338863907,0.005905205905205905,-0.581750541759392,-0.8214285714285714,0.22999222999223,0.8214285714285714,0.581750541759392
Pressure_Clean_Kurtosis__median,0,1,7,8,4.989871735279167,7.011655794864353,4.923395331741142,7.1001192027682185,0.009324009324009324,-1.7207472217928483,-0.7857142857142857,0.22999222999223,0.7857142857142857,1.7207472217928483
VMD_Reconstructed_Skewness__iqr,0,1,7,8,1.107056958569188,1.8463402725581628,1.1920795913391544,1.774249111300958,0.009324009324009324,-1.7044900884218162,-0.7857142857142857,0.22999222999223,0.7857142857142857,1.7044900884218162
VMD_Mode4_Kurtosis__iqr,0,1,7,8,1.5282750947471229,2.6600513021714924,1.3806259764918547,2.6058198015497123,0.009324009324009324,-1.59518047213052,-0.7857142857142857,0.22999222999223,0.7857142857142857,1.59518047213052
Pressure_Clean_Diff_MAD__mean,0,1,7,8,0.18716474395780866,0.11975597303810559,0.1891094735401271,0.12530794518838356,0.009324009324009324,1.5073103660946832,0.7857142857142857,0.22999222999223,0.7857142857142857,1.5073103660946832
VMD_Reconstructed_RQA_epsilon__iqr,0,1,7,8,0.39606629879953,0.5553492120640278,0.423224483552683,0.5432888132267107,0.009324009324009324,-1.4300179681014062,-0.7857142857142857,0.22999222999223,0.7857142857142857,1.4300179681014062
VMD_Mode4_PS_StateSpread__iqr,0,1,7,8,0.3930842517953598,0.7742075379109628,0.3791440918439706,0.6263941784638087,0.009324009324009324,-1.3438747649649103,-0.7857142857142857,0.22999222999223,0.7857142857142857,1.3438747649649103
