Time,PH,Temperature,Pressure_Raw,Pressure_Clean
84000.0,8.605,37.109,106.374,106.374
84001.2,8.605,37.121,106.296,106.296
84002.4,8.605,37.22,106.538,106.538
84003.59999999999,8.605,37.134,106.66,106.66
84004.8,8.395,37.244,106.545,106.545
84006.0,8.605,37.121,106.487,106.487
84007.2,8.114,37.244,106.433,106.433
84008.4,8.114,37.183,106.714,106.487
84009.59999999999,8.254,37.244,106.41,106.41
84010.8,8.535,37.121,106.531,106.531
84012.0,7.763,37.134,106.365,106.365
84013.2,8.324,37.134,106.808,106.808
84014.4,8.324,37.22,106.642,106.642
84015.59999999999,8.605,37.097,106.923,106.923
84016.8,8.324,37.121,106.523,106.523
84018.0,8.114,37.244,106.561,106.561
84019.2,8.324,37.244,106.25,106.521
84020.4,8.324,37.257,106.519,106.519
84021.59999999999,7.833,37.244,106.382,106.521
84022.8,8.324,37.244,106.521,106.521
84024.0,8.324,37.134,106.548,106.548
84025.2,7.973,37.134,106.461,106.461
84026.4,8.324,37.134,106.497,106.497
84027.59999999999,8.043,37.183,106.53,106.53
84028.8,8.043,37.097,106.552,106.552
84030.0,8.816,37.244,106.306,106.53
84031.2,8.184,37.183,106.602,106.602
84032.4,8.605,37.134,106.369,106.369
84033.59999999999,8.886,37.257,106.583,106.583
84034.8,9.027,37.121,106.368,106.368
84036.0,8.184,37.208,106.828,106.377
84037.2,8.605,37.134,106.445,106.445
84038.4,8.886,37.097,106.353,106.353
84039.59999999999,8.886,37.134,106.305,106.305
84040.8,8.746,37.244,106.497,106.497
84042.0,8.886,37.097,106.377,106.377
84043.2,8.886,37.208,106.701,106.701
84044.4,8.886,37.134,106.465,106.465
84045.59999999999,8.746,37.244,106.689,106.689
84046.8,8.746,37.208,106.641,106.641
84048.0,8.676,37.244,107.028,107.028
84049.2,8.395,37.22,106.295,106.295
84050.4,8.395,37.22,106.375,106.375
84051.59999999999,8.746,37.244,106.214,106.214
84052.8,8.746,37.244,106.581,106.581
84054.0,8.395,37.22,106.411,106.411
84055.2,7.973,37.22,107.009,106.483
84056.4,8.886,37.134,106.568,106.568
84057.59999999999,8.605,37.134,106.652,106.652
84058.8,8.395,37.22,106.355,106.355
84060.0,8.395,37.22,106.483,106.483
84061.2,7.903,37.208,106.489,106.489
84062.4,8.043,37.134,106.425,106.425
84063.59999999999,8.816,37.097,106.257,106.257
84064.8,8.535,37.097,106.181,106.431
84066.0,8.043,37.134,106.497,106.497
84067.2,8.746,37.121,106.431,106.431
84068.4,8.746,37.244,106.801,106.457
84069.59999999999,8.746,37.244,106.338,106.457
84070.8,8.746,37.22,106.718,106.457
84072.0,8.746,37.208,106.457,106.457
84073.2,8.746,37.244,106.481,106.481
84074.4,8.395,37.22,106.259,106.259
84075.59999999999,8.605,37.244,106.25,106.25
84076.8,8.746,37.097,106.277,106.277
84078.0,8.746,37.097,106.345,106.345
84079.2,8.746,37.22,106.89,106.345
84080.4,8.676,37.244,106.537,106.537
84081.59999999999,8.886,37.097,106.652,106.385
84082.8,8.395,37.22,106.343,106.343
84084.0,8.816,37.109,106.685,106.685
84085.2,8.886,37.097,106.385,106.385
84086.4,8.043,37.134,106.533,106.533
84087.59999999999,8.043,37.134,106.233,106.233
84088.8,8.395,37.22,106.283,106.283
84090.0,8.184,37.134,106.489,106.489
84091.2,8.395,37.22,106.443,106.443
84092.4,8.676,37.22,106.698,106.359
84093.59999999999,8.746,37.109,106.33,106.33
84094.8,8.395,37.22,106.359,106.359
84096.0,8.746,37.121,106.34,106.34
