iter	Logloss
0	0.6830727259
1	0.6727633476
2	0.6642154853
3	0.6516070366
4	0.6461851597
5	0.6340633233
6	0.6206835111
7	0.6134011745
8	0.6010211309
9	0.5949102243
10	0.5850419998
11	0.5754680634
12	0.5657166243
13	0.5566225847
14	0.5473364592
15	0.5413080057
16	0.5355246067
17	0.5253351927
18	0.5167469978
19	0.5073084037
20	0.5006292661
21	0.493187507
22	0.4859520594
23	0.478284359
24	0.4735454718
25	0.4678795338
26	0.4612833659
27	0.453665336
28	0.4473666747
29	0.4393455187
30	0.4346402486
31	0.4283716281
32	0.4216469924
33	0.4144464731
34	0.4083844423
35	0.4021457036
36	0.3968936602
37	0.3910691738
38	0.3860520919
39	0.3796245654
40	0.3740216891
41	0.3689732949
42	0.3643890222
43	0.3585186799
44	0.3542015155
45	0.3493583202
46	0.3452169895
47	0.3408337434
48	0.3374719222
49	0.3331296047
50	0.3285975456
51	0.3241665363
52	0.3204267025
53	0.316357255
54	0.3124203483
55	0.3085707823
56	0.3041646083
57	0.3007892966
58	0.2970677614
59	0.293104132
60	0.2889878352
61	0.2855371634
62	0.2820855776
63	0.278444171
64	0.274765571
65	0.2713695765
66	0.2682952682
67	0.2650456627
68	0.2616548538
69	0.2586567402
70	0.2554056644
71	0.2523867687
72	0.2486879826
73	0.2459769249
74	0.243154188
75	0.2405416171
76	0.2379760345
77	0.234607776
78	0.2321471572
79	0.2294030984
