iter	Passed	Remaining
0	0	24
1	0	20
2	0	18
3	0	17
4	1	16
5	1	15
6	1	15
7	1	15
8	1	15
9	2	14
10	2	14
11	2	14
12	2	13
13	2	13
14	3	13
15	3	12
16	3	12
17	3	12
18	3	12
19	4	12
20	4	12
21	4	12
22	4	11
23	5	11
24	5	11
25	6	12
26	6	12
27	6	12
28	6	12
29	7	11
30	7	11
31	7	11
32	8	11
33	8	11
34	8	11
35	8	10
36	9	10
37	9	10
38	9	9
39	9	9
40	9	9
41	10	9
42	10	8
43	10	8
44	10	8
45	10	8
46	11	7
47	11	7
48	11	7
49	11	7
50	12	6
51	12	6
52	12	6
53	12	6
54	12	5
55	12	5
56	13	5
57	13	5
58	13	4
59	13	4
60	13	4
61	14	4
62	14	3
63	14	3
64	14	3
65	14	3
66	15	2
67	15	2
68	15	2
69	15	2
70	16	2
71	16	1
72	16	1
73	16	1
74	17	1
75	17	0
76	18	0
77	18	0
78	18	0
79	18	0
